sample_name	species	likely_resistant	fq_resistance_mutations	qrdr_mutations	genes_affected
N02_1_2	Streptococcus_mitis	False	0	13	gyrA,gyrB,parC,parE
N02_1_2	Streptococcus_oralis	False	0	59	gyrA,gyrB,parC,parE
N02_1_2	Streptococcus_pneumoniae	False	0	43	gyrA,gyrB,parC,parE
N02_1_3	Enterococcus_faecalis	False	0	14	gyrA,gyrB,parE
N02_1_3	Enterococcus_faecium	False	0	14	gyrA,parE
N02_1_3	Escherichia_coli	False	0	6	gyrA,gyrB,parC,parE
N02_1_3	Klebsiella_oxytoca	False	0	2	gyrB,parE
N02_1_3	Klebsiella_pneumoniae	False	0	2	gyrB,parE
N02_1_3	Pseudomonas_aeruginosa	False	0	2	gyrA,gyrB,parC,parE
N02_1_3	Staphylococcus_aureus	True	6	51	gyrA,gyrB,parC,parE
N02_1_3	Streptococcus_mitis	False	0	2	gyrA,gyrB,parC
N02_1_3	Streptococcus_oralis	False	0	5	gyrA,gyrB,parC,parE
N02_1_3	Streptococcus_pneumoniae	False	0	14	gyrA,gyrB,parC
N02_1_4	Enterococcus_faecalis	True	4	282	gyrA,gyrB,parC,parE
N02_1_4	Enterococcus_faecium	True	1	1654	gyrA,gyrB,parC,parE
N02_1_4	Escherichia_coli	False	0	156	gyrA,gyrB,parC,parE
N02_1_4	Klebsiella_oxytoca	False	0	111	gyrA,gyrB,parC,parE
N02_1_4	Klebsiella_pneumoniae	True	2	124	gyrA,gyrB,parE
N02_1_4	Pseudomonas_aeruginosa	True	4	129	gyrA,gyrB,parC,parE
N02_1_4	Staphylococcus_aureus	True	263	779	gyrA,gyrB,parC,parE
N02_1_4	Streptococcus_mitis	False	0	674	gyrA,gyrB,parC,parE
N02_1_4	Streptococcus_oralis	False	0	855	gyrA,gyrB,parC,parE
N02_1_4	Streptococcus_pneumoniae	False	0	685	gyrA,gyrB,parC,parE
N02_2_2	Enterococcus_faecalis	False	0	53	gyrA,gyrB,parC,parE
N02_2_2	Enterococcus_faecium	False	0	35	gyrA,gyrB,parC,parE
N02_2_2	Escherichia_coli	False	0	36	gyrA,gyrB,parC,parE
N02_2_2	Klebsiella_oxytoca	True	1	19	gyrA,gyrB,parC,parE
N02_2_2	Klebsiella_pneumoniae	True	1	25	gyrA,gyrB,parE
N02_2_2	Pseudomonas_aeruginosa	False	0	90	gyrA,gyrB,parC,parE
N02_2_2	Staphylococcus_aureus	True	29	406	gyrA,gyrB,parC,parE
N02_2_2	Streptococcus_mitis	False	0	7	gyrA,gyrB,parC,parE
N02_2_2	Streptococcus_oralis	False	0	107	gyrA,gyrB,parC,parE
N02_2_2	Streptococcus_pneumoniae	False	0	85	gyrA,gyrB,parC,parE
N02_2_3	Enterococcus_faecalis	True	1	36	gyrA,gyrB,parC,parE
N02_2_3	Enterococcus_faecium	False	0	28	gyrA,gyrB,parC,parE
N02_2_3	Escherichia_coli	True	5	68	gyrA,gyrB,parC,parE
N02_2_3	Klebsiella_oxytoca	False	0	49	gyrA,gyrB,parC,parE
N02_2_3	Klebsiella_pneumoniae	True	1	60	gyrA,gyrB,parE
N02_2_3	Pseudomonas_aeruginosa	False	0	5	gyrA,gyrB,parC,parE
N02_2_3	Staphylococcus_aureus	False	0	65	gyrA,gyrB,parC,parE
N02_2_3	Streptococcus_mitis	False	0	7	gyrA,gyrB,parC,parE
N02_2_3	Streptococcus_oralis	False	0	17	gyrA,gyrB,parC,parE
N02_2_3	Streptococcus_pneumoniae	False	0	14	gyrA,gyrB,parC,parE
N02_2_4	Enterococcus_faecalis	True	6	212	gyrA,gyrB,parC,parE
N02_2_4	Enterococcus_faecium	True	2	552	gyrA,gyrB,parC,parE
N02_2_4	Escherichia_coli	True	3	422	gyrA,gyrB,parC,parE
N02_2_4	Klebsiella_oxytoca	False	0	211	gyrA,gyrB,parC,parE
N02_2_4	Klebsiella_pneumoniae	True	1	255	gyrA,gyrB,parE
N02_2_4	Pseudomonas_aeruginosa	False	0	119	gyrA,gyrB,parC,parE
N02_2_4	Staphylococcus_aureus	True	12	445	gyrA,gyrB,parC,parE
N02_2_4	Streptococcus_mitis	False	0	239	gyrA,gyrB,parC,parE
N02_2_4	Streptococcus_oralis	False	0	294	gyrA,gyrB,parC,parE
N02_2_4	Streptococcus_pneumoniae	False	0	240	gyrA,gyrB,parC,parE
N03_1_4	Enterococcus_faecalis	True	1	628	gyrA,gyrB,parC,parE
N03_1_4	Enterococcus_faecium	True	1	1493	gyrA,gyrB,parC,parE
N03_1_4	Escherichia_coli	False	0	548	gyrA,gyrB,parC,parE
N03_1_4	Klebsiella_oxytoca	False	0	142	gyrA,gyrB,parC,parE
N03_1_4	Klebsiella_pneumoniae	True	1	253	gyrA,gyrB,parE
N03_1_4	Pseudomonas_aeruginosa	True	8	258	gyrA,gyrB,parE
N03_1_4	Staphylococcus_aureus	True	135	1913	gyrA,gyrB,parC,parE
N03_1_4	Streptococcus_mitis	False	0	247	gyrA,gyrB,parC,parE
