sample_name	total_genes	amr_genes	stress_genes	unique_amr_genes	unique_stress_genes	total_amr_reads	total_stress_reads	total_amr_rpm	total_stress_rpm	high_conf_amr	num_drug_classes	soxS_rpm	recA_rpm
ZJH_N30_1_4	66	65	1	65	1	201582	1	1867.63249166	0.0122258	20	17	0.0	0.0
ZJH_N30_2_3	63	63	0	63	0	24172	0	728.0669017399998	0.0	5	12	0.0	0.0
ZJH_N30_2_4	121	121	0	121	0	97451	0	1091.67043607	0.0	60	21	0.0	0.0
ZJH_N31_1_2	126	126	0	126	0	11658	0	253.24771509999997	0.0	51	19	0.0	0.0
ZJH_N31_1_4	82	81	1	81	1	1309559	1	18694.70838061001	0.00824288	15	13	0.00824288	0.0
ZJH_N31_2_2	115	115	0	115	0	9293	0	203.91631997999997	0.0	33	16	0.0	0.0
ZJH_N31_2_3	134	134	0	134	0	228421	0	3019.7682292400004	0.0	75	19	0.0	0.0
ZJH_N31_2_4	122	122	0	122	0	484465	0	3800.0867822	0.0	65	16	0.0	0.0
ZJH_N32_1_2	97	97	0	97	0	38874	0	574.0212034900001	0.0	32	16	0.0	0.0
ZJH_N32_1_4	96	96	0	96	0	159868	0	1984.1778276100001	0.0	32	10	0.0	0.0
ZJH_N32_2_2	99	99	0	99	0	16850	0	425.88110261	0.0	29	14	0.0	0.0
ZJH_N32_2_3	78	78	0	78	0	10980	0	201.98283833000008	0.0	5	13	0.0	0.0
ZJH_N32_2_4	94	94	0	94	0	31349	0	487.09594399	0.0	21	14	0.0	0.0
ZJH_N33_1_2	109	108	1	108	1	19092	3	469.0965440500001	0.0871576	34	18	0.0	0.0871576
ZJH_N33_1_3	86	86	0	86	0	5425	0	262.6769139499999	0.0	13	15	0.0	0.0
ZJH_N33_1_4	106	106	0	106	0	45663	0	563.14728945	0.0	5	17	0.0	0.0
ZJH_N33_2_2	106	106	0	106	0	30353	0	590.0009442	0.0	41	16	0.0	0.0
ZJH_N33_2_4	126	126	0	126	0	119411	0	1423.5707306399997	0.0	76	16	0.0	0.0
ZJH_N34_1_2	96	96	0	96	0	9330	0	268.33967099	0.0	28	14	0.0	0.0
ZJH_N34_1_3	64	64	0	64	0	10517	0	221.06483787	0.0	4	12	0.0	0.0
ZJH_N34_1_4	83	83	0	83	0	49982	0	542.8820129299999	0.0	2	14	0.0	0.0
ZJH_N35_1_2	88	88	0	88	0	8224	0	256.74987468999996	0.0	23	16	0.0	0.0
ZJH_N35_1_4	85	85	0	85	0	31328	0	437.6359505399999	0.0	8	16	0.0	0.0
ZJH_N36_1_2	104	104	0	104	0	10154	0	215.00218220000005	0.0	24	19	0.0	0.0
ZJH_N36_1_3	69	69	0	69	0	11504	0	199.90191828	0.0	1	14	0.0	0.0
ZJH_N36_1_4	103	103	0	103	0	44301	0	457.83406102	0.0	5	14	0.0	0.0
ZJH_N36_2_2	130	130	0	130	0	35099	0	965.21132115	0.0	78	18	0.0	0.0
ZJH_N36_2_3	112	112	0	112	0	23249	0	373.98336222000006	0.0	51	13	0.0	0.0
ZJH_N36_2_4	130	129	1	129	1	612985	1	4173.9066219	0.00891228	81	19	0.0	0.0
ZJH_N37_1_2	113	113	0	113	0	13831	0	369.56692570000007	0.0	40	19	0.0	0.0
ZJH_N37_1_3	44	44	0	44	0	5837	0	202.01114897	0.0	1	11	0.0	0.0
ZJH_N38_1_2	137	137	0	137	0	32324	0	587.25063465	0.0	66	18	0.0	0.0
ZJH_N38_1_3	84	84	0	84	0	10222	0	298.78539494	0.0	27	14	0.0	0.0
ZJH_N38_1_4	96	96	0	96	0	43344	0	544.1218419099997	0.0	9	13	0.0	0.0
ZJH_N39_1_4	127	127	0	127	0	1588091	0	16951.41323858999	0.0	35	17	0.0	0.0
ZJH_N39_2_2	84	83	1	83	1	35448	2	666.91749151	0.0284303	33	17	0.0284303	0.0
ZJH_N39_2_3	53	53	0	53	0	5773	0	220.6411673	0.0	15	12	0.0	0.0
ZJH_N39_2_4	78	78	0	78	0	1761681	0	23028.693131360003	0.0	18	16	0.0	0.0
ZJH_N40_1_2	128	128	0	128	0	12070	0	449.08117333000007	0.0	57	17	0.0	0.0
ZJH_N40_1_4	119	119	0	119	0	28113	0	311.20506643999994	0.0	34	15	0.0	0.0
ZJH_N41_1_2	39	39	0	39	0	4996	0	240.17792840000007	0.0	1	10	0.0	0.0
ZJH_N41_1_3	73	73	0	73	0	10147	0	230.62972554999996	0.0	16	14	0.0	0.0
ZJH_N41_1_4	124	124	0	124	0	2862312	0	51535.64610615001	0.0	54	15	0.0	0.0
ZJH_N42_1_3	93	93	0	93	0	10029	0	202.14033095999997	0.0	4	14	0.0	0.0
ZJH_N42_1_4	88	87	1	87	1	37194	2	550.3688596200001	0.0171054	22	14	0.0171054	0.0
ZJH_N42_2_2	109	109	0	109	0	14807	0	336.9943978200001	0.0	62	14	0.0	0.0
ZJH_N42_2_3	102	101	1	101	1	402922	1	4160.73895693	0.00863202	64	14	0.0	0.0
ZJH_N42_2_4	109	108	1	108	1	448209	1	3886.2779705499997	0.00698757	59	13	0.0	0.0
ZJH_N43_1_2	71	71	0	71	0	9413	0	235.05262652000002	0.0	10	14	0.0	0.0
ZJH_N43_1_3	88	88	0	88	0	10217	0	180.68196396000002	0.0	8	13	0.0	0.0
ZJH_N43_1_4	113	113	0	113	0	119936	0	943.2899815	0.0	38	14	0.0	0.0
ZJH_N43_2_2	98	97	1	97	1	26217	1	415.72574825999993	0.0105724	25	17	0.0105724	0.0
ZJH_N43_2_3	87	86	1	86	1	25798	1	906.4170713100001	0.0222765	23	15	0.0222765	0.0
ZJH_N43_2_4	117	116	1	116	1	1991984	2	18525.423251719996	0.0107698	28	18	0.0107698	0.0
ZJH_N44_1_2	115	115	0	115	0	18152	0	311.38678466	0.0	56	14	0.0	0.0
ZJH_N44_1_3	82	82	0	82	0	8133	0	233.75422119000004	0.0	11	11	0.0	0.0
ZJH_N44_1_4	91	91	0	91	0	26147	0	460.59436567999995	0.0	9	15	0.0	0.0
ZJH_N45_1_2	82	82	0	82	0	9884	0	254.8936294	0.0	17	16	0.0	0.0
ZJH_N45_1_3	75	75	0	75	0	10318	0	341.12786005999993	0.0	9	13	0.0	0.0
ZJH_N45_1_4	104	103	1	103	1	61554	15	788.2639446300001	0.114021	24	15	0.114021	0.0
ZJH_N45_2_2	127	126	1	126	1	46966	1	1528.4882361999996	0.0202779	58	19	0.0202779	0.0
ZJH_N45_2_3	144	143	1	143	1	46799	1	890.09839532	0.0249291	70	19	0.0	0.0249291
ZJH_N45_2_4	131	130	1	130	1	791676	1	5425.230105480001	0.00592967	77	21	0.00592967	0.0
ZJH_N46_1_2	97	97	0	97	0	20030	0	333.92493384000005	0.0	27	16	0.0	0.0
ZJH_N46_1_4	93	93	0	93	0	29686	0	431.85494289999997	0.0	14	15	0.0	0.0
ZJH_N46_2_2	130	130	0	130	0	55370	0	633.05663841	0.0	64	22	0.0	0.0
ZJH_N46_2_3	128	128	0	128	0	547703	0	6098.14254071	0.0	79	20	0.0	0.0
ZJH_N46_2_4	135	135	0	135	0	905212	0	7108.544942396	0.0	82	20	0.0	0.0
ZJH_N47_1_2	74	74	0	74	0	18493	0	313.88487686999997	0.0	21	16	0.0	0.0
ZJH_N47_1_3	61	61	0	61	0	12564	0	237.95222357000003	0.0	3	14	0.0	0.0
ZJH_N47_1_4	103	103	0	103	0	582932	0	9125.475742560004	0.0	31	14	0.0	0.0
ZJH_N47_2_2	120	120	0	120	0	12483	0	293.17854855999997	0.0	63	17	0.0	0.0
ZJH_N47_2_3	76	76	0	76	0	9430	0	236.82873806	0.0	13	14	0.0	0.0
ZJH_N47_2_4	100	100	0	100	0	41553	0	555.96515717	0.0	13	14	0.0	0.0
ZJH_N48_1_3	90	90	0	90	0	25356	0	682.0438492	0.0	29	19	0.0	0.0
ZJH_N48_1_4	127	127	0	127	0	44560	0	588.3022286699999	0.0	36	19	0.0	0.0
ZJH_N48_2_2	98	98	0	98	0	13310	0	263.72813149	0.0	27	14	0.0	0.0
ZJH_N48_2_4	96	96	0	96	0	358662	0	2365.66760852	0.0	38	19	0.0	0.0
ZJH_N49_1_2	87	87	0	87	0	23811	0	496.20558229999995	0.0	26	15	0.0	0.0
ZJH_N49_1_3	39	39	0	39	0	9501	0	270.07804493	0.0	1	10	0.0	0.0
ZJH_N49_1_4	84	84	0	84	0	74507	0	1002.19962926	0.0	5	16	0.0	0.0
ZJH_N49_2_2	140	140	0	140	0	9584	0	297.8412882	0.0	78	19	0.0	0.0
ZJH_N49_2_4	130	130	0	130	0	498436	0	3896.17623201	0.0	59	18	0.0	0.0
ZJH_N50_1_2	74	74	0	74	0	8357	0	257.67623882999993	0.0	11	11	0.0	0.0
ZJH_N50_1_3	110	110	0	110	0	294385	0	3757.23620448	0.0	67	14	0.0	0.0
ZJH_N50_1_4	95	93	2	93	2	346451	2	3283.4198522200004	0.06613524	57	12	0.0	0.0
ZJH_N50_2_2	108	108	0	108	0	22361	0	426.70058409999996	0.0	63	15	0.0	0.0
ZJH_N50_2_3	112	112	0	112	0	160514	0	1705.61437241	0.0	72	18	0.0	0.0
ZJH_N50_2_4	123	122	1	122	1	474059	1	3000.81770952	0.00817641	65	16	0.0	0.0
ZJH_N51_1_2	112	112	0	112	0	24578	0	454.21809382000004	0.0	29	17	0.0	0.0
ZJH_N51_1_3	111	111	0	111	0	340840	0	3795.3703771499995	0.0	63	15	0.0	0.0
ZJH_N51_1_4	119	119	0	119	0	501815	0	3563.6993703499998	0.0	62	18	0.0	0.0
ZJH_N51_2_3	110	110	0	110	0	78938	0	766.4172353299998	0.0	65	17	0.0	0.0
ZJH_N51_2_4	112	112	0	112	0	578178	0	4222.30755337	0.0	67	17	0.0	0.0
ZJH_N52_1_2	86	86	0	86	0	10136	0	243.38532074000003	0.0	10	17	0.0	0.0
ZJH_N52_1_3	33	33	0	33	0	8203	0	253.32378862000004	0.0	2	8	0.0	0.0
ZJH_N52_1_4	113	113	0	113	0	248356	0	3736.78140867	0.0	50	17	0.0	0.0
ZJH_N52_2_2	113	113	0	113	0	26005	0	1230.0229796	0.0	55	18	0.0	0.0
ZJH_N52_2_3	115	115	0	115	0	14536	0	276.49793984	0.0	30	15	0.0	0.0
ZJH_N52_2_4	102	102	0	102	0	49610	0	877.9670346700002	0.0	28	15	0.0	0.0
ZJH_N53_1_4	108	107	1	107	1	147859	3	1512.5696517100002	0.0427265	36	20	0.0	0.0
ZJH_N53_2_2	132	132	0	132	0	94944	0	1975.5269304999997	0.0	86	20	0.0	0.0
ZJH_N53_2_3	125	124	1	124	1	99259	1	1660.6283485199995	0.104673	73	20	0.0	0.0
ZJH_N53_2_4	111	111	0	111	0	383497	0	3616.5405952499996	0.0	67	19	0.0	0.0
ZJH_N54_1_2	98	98	0	98	0	96715	0	1820.3975003199998	0.0	25	15	0.0	0.0
ZJH_N54_1_3	82	82	0	82	0	11154	0	317.042243	0.0	17	16	0.0	0.0
ZJH_N54_1_4	110	110	0	110	0	163256	0	2320.0107837099995	0.0	46	16	0.0	0.0
ZJH_N54_2_2	119	119	0	119	0	11115	0	390.0512881	0.0	49	21	0.0	0.0
ZJH_N54_2_3	97	97	0	97	0	5792	0	183.30792359	0.0	22	14	0.0	0.0
ZJH_N54_2_4	129	127	2	127	2	71569	2	931.95507637	0.0364074	47	17	0.0069497	0.0
ZJH_N55_1_2	107	107	0	107	0	12074	0	233.18078484999998	0.0	37	15	0.0	0.0
ZJH_N55_1_3	74	74	0	74	0	22872	0	504.0117936100001	0.0	20	15	0.0	0.0
ZJH_N55_1_4	71	71	0	71	0	135393	0	1473.18282822	0.0	28	17	0.0	0.0
ZJH_N55_2_2	120	120	0	120	0	19197	0	387.07942078	0.0	47	23	0.0	0.0
ZJH_N55_2_3	133	133	0	133	0	16653	0	317.30631141000003	0.0	59	16	0.0	0.0
ZJH_N55_2_4	156	156	0	156	0	639884	0	5057.87473454	0.0	99	23	0.0	0.0
ZJH_N56_1_2	66	66	0	66	0	12002	0	265.99417780000005	0.0	13	14	0.0	0.0
ZJH_N56_1_3	53	53	0	53	0	12888	0	254.48927806999998	0.0	1	10	0.0	0.0
ZJH_N56_1_4	89	89	0	89	0	43984	0	633.46981451	0.0	13	15	0.0	0.0
ZJH_N56_2_2	132	132	0	132	0	59788	0	1518.7768847900002	0.0	49	20	0.0	0.0
ZJH_N56_2_3	135	135	0	135	0	15112	0	300.20213605999993	0.0	57	12	0.0	0.0
ZJH_N56_2_4	168	168	0	168	0	344926	0	3302.6442384800002	0.0	96	20	0.0	0.0
ZJH_N57_1_2	128	128	0	128	0	11263	0	331.93934171000006	0.0	55	18	0.0	0.0
ZJH_N57_1_3	134	134	0	134	0	9348	0	202.48949993999997	0.0	41	16	0.0	0.0
ZJH_N57_1_4	160	160	0	160	0	629452	0	5570.77195943	0.0	103	19	0.0	0.0
ZJH_N58_1_2	139	139	0	139	0	57392	0	1776.4415985699998	0.0	67	16	0.0	0.0
ZJH_N58_1_3	128	128	0	128	0	31027	0	960.5574809	0.0	63	14	0.0	0.0
ZJH_N58_1_4	157	157	0	157	0	655001	0	6797.73633004	0.0	101	15	0.0	0.0
ZJH_N58_2_2	121	121	0	121	0	12746	0	310.42744614	0.0	50	16	0.0	0.0
ZJH_N58_2_3	167	167	0	167	0	123459	0	1575.6989480900002	0.0	87	18	0.0	0.0
ZJH_N58_2_4	154	154	0	154	0	504626	0	4965.1727416700005	0.0	97	18	0.0	0.0
ZJH_N59_1_2	105	105	0	105	0	11058	0	230.59662451999998	0.0	25	14	0.0	0.0
ZJH_N59_1_3	128	128	0	128	0	372241	0	5619.15917175	0.0	77	20	0.0	0.0
ZJH_N59_1_4	115	114	1	114	1	506796	1	6020.49530677	0.0261753	65	15	0.0	0.0
ZJH_N59_2_3	134	134	0	134	0	117845	0	2179.5515568	0.0	72	16	0.0	0.0
ZJH_N59_2_4	125	125	0	125	0	250726	0	3471.68196032	0.0	64	15	0.0	0.0
