sample_name	total_genes	amr_genes	stress_genes	unique_amr_genes	unique_stress_genes	total_amr_reads	total_stress_reads	total_amr_rpm	total_stress_rpm	high_conf_amr	num_drug_classes	soxS_rpm	recA_rpm
N60_2_4	159	158	1	158	1	244687	1	5283.5976541	0.0141567	110	21	0.0	0.0
N61_1_2	91	91	0	91	0	9161	0	394.63085126	0.0	31	15	0.0	0.0
N61_1_3	94	94	0	94	0	8535	0	265.28252829999997	0.0	28	16	0.0	0.0
N61_1_4	145	145	0	145	0	287914	0	1429.9587891399997	0.0	48	18	0.0	0.0
N61_2_2	112	111	1	111	1	60499	9	1457.6080724	0.14436	47	18	0.14436	0.0
N61_2_3	144	144	0	144	0	17561	0	283.28659099	0.0	57	22	0.0	0.0
N61_2_4	108	108	0	108	0	19548	0	9617.172180200001	0.0	58	17	0.0	0.0
N62_1_2	95	95	0	95	0	16156	0	672.431769	0.0	32	19	0.0	0.0
N62_1_3	90	90	0	90	0	5018	0	249.7631285	0.0	21	15	0.0	0.0
N62_1_4	138	137	1	137	1	682280	2	8108.662996710001	0.0136094	91	18	0.0	0.0
N62_2_2	164	163	1	163	1	31824	1	483.37911321	0.0102131	88	19	0.0102131	0.0
N62_2_3	169	169	0	169	0	15068	0	307.27008729	0.0	90	21	0.0	0.0
N62_2_4	153	152	1	152	1	487925	1	7834.37636458	0.00978832	110	19	0.0	0.0
N63_1_2	88	88	0	88	0	13849	0	678.5045944000001	0.0	31	14	0.0	0.0
N63_1_3	144	143	1	143	1	38479	9	1438.6814584	0.209958	92	17	0.209958	0.0
N63_1_4	145	141	4	141	4	455959	5	9555.15567606	0.1054314	98	19	0.0254226	0.0
N63_2_2	157	156	1	156	1	27933	1	570.10460199	0.013	82	17	0.013	0.0
N63_2_3	160	160	0	160	0	63890	0	1194.47367462	0.0	87	18	0.0	0.0
N63_2_4	143	142	1	142	1	561703	2	8090.786897339999	0.0152212	92	18	0.0	0.0
N64_1_2	98	98	0	98	0	7903	0	311.38438270000006	0.0	35	19	0.0	0.0
N64_1_3	80	80	0	80	0	6782	0	274.89670259999997	0.0	21	13	0.0	0.0
N64_1_4	150	148	2	148	2	189723	6	1347.5602002589999	0.0423345	62	19	0.0229115	0.0
N64_2_2	127	127	0	127	0	23611	0	326.21722229000005	0.0	39	17	0.0	0.0
N64_2_3	173	172	1	172	1	28482	2	493.8856706	0.022456	88	21	0.022456	0.0
N64_2_4	178	178	0	178	0	415004	0	3770.89264549	0.0	100	21	0.0	0.0
N65_1_2	97	96	1	96	1	44952	10	1278.20367038	0.192355	39	17	0.192355	0.0
N65_1_3	157	156	1	156	1	61296	6	1085.0120824599999	0.0769644	88	21	0.0769644	0.0
N65_1_4	138	137	1	137	1	148776	6	3691.0004023699994	0.107549	87	19	0.107549	0.0
N65_2_2	103	102	1	102	1	30974	4	917.65605743	0.0835785	32	15	0.0835785	0.0
N65_2_3	159	158	1	158	1	55731	1	1372.4681391699996	0.0173198	97	19	0.0173198	0.0
N65_2_4	171	170	1	170	1	476178	2	4733.7918923	0.0287363	118	20	0.0	0.0287363
N66_1_2	108	108	0	108	0	30579	0	578.32274866	0.0	39	17	0.0	0.0
N66_1_3	146	145	1	145	1	15140	1	306.68271451000004	0.0126124	83	17	0.0126124	0.0
N66_1_4	111	110	1	110	1	96498	7	3761.2048077999993	0.183529	71	18	0.183529	0.0
N66_2_2	138	138	0	138	0	16121	0	576.2035849	0.0	97	20	0.0	0.0
N66_2_3	127	127	0	127	0	129614	0	4969.734556399999	0.0	84	19	0.0	0.0
N66_2_4	140	140	0	140	0	415549	0	6760.432925339999	0.0	98	20	0.0	0.0
N67_1_2	116	115	1	115	1	71056	14	1356.6523918	0.175178	39	18	0.175178	0.0
N67_1_3	105	105	0	105	0	28508	0	520.41662566	0.0	33	16	0.0	0.0
N67_1_4	128	127	1	127	1	461337	2	3332.4046918599997	0.00857183	50	18	0.00857183	0.0
N67_2_2	81	81	0	81	0	19561	0	448.89210980000007	0.0	32	16	0.0	0.0
N67_2_3	202	202	0	202	0	87709	0	2258.3617695000003	0.0	135	21	0.0	0.0
N67_2_4	220	220	0	220	0	204764	0	2114.69619276	0.0	152	23	0.0	0.0
N68_1_2	83	81	2	81	2	29900	5	1307.2973024	0.1723039	31	15	0.115389	0.0569149
