sample_name	gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	evidence	confidence
N21_1_4	clpX	clpX	STRESS	2	4.71698	2.0	19.2771	0.123032	Coverage	LOW
N21_2_2	soxS	soxS	STRESS	1	3.04414	1.0	17.2658	0.0171414	Coverage	LOW
N22_1_4	ahpF	ahpF	STRESS	2	3.83877	2.0	7.4885	0.0387077	Coverage	LOW
N22_1_4	fepA	fepA	STRESS	4	2.79627	3.90476	10.3902	0.0537062	Coverage	LOW
N22_2_2	soxS	soxS	STRESS	24	3.19635	22.8571	526.721	0.43264	Coverage	LOW
N22_2_3	soxS	soxS	STRESS	2	3.04414	2.0	9.17609	0.0364687	Coverage	LOW
N23_1_4	soxS	soxS	STRESS	27	3.04414	27.0	515.923	0.954032	Coverage	LOW
N23_2_2	soxS	soxS	STRESS	5	3.04414	5.0	44.454	0.0567519	Coverage	LOW
N23_2_3	soxS	soxS	STRESS	2	3.04414	2.0	5.78523	0.0127636	Coverage	LOW
N23_2_4	fepA	fepA	STRESS	2	2.66312	2.0	8.12143	0.0436199	Coverage	LOW
N24_1_4	fepA	fepA	STRESS	4	2.79627	3.90476	11.7954	0.052803	Coverage	LOW
N24_1_4	soxS	soxS	STRESS	2	3.04414	2.0	6.74154	0.0301789	Coverage	LOW
N24_2_3	bcsC	bcsC	STRESS	2	1.72265	2.0	2.58062	0.0135819	Coverage	LOW
N24_2_3	soxS	soxS	STRESS	4	3.04414	4.0	9.12056	0.0480018	Coverage	LOW
N25_1_2	soxS	soxS	STRESS	13	3.04414	13.0	168.355	0.119276	Coverage	LOW
N25_2_2	soxS	soxS	STRESS	1	3.04414	1.0	12.6123	0.0123107	Coverage	LOW
N26_1_4	soxS	soxS	STRESS	2	3.04414	2.0	71.5967	0.114444	Coverage	LOW
N27_1_2	recA	recA	STRESS	1	6.00601	1.0	23.0423	0.0167641	Coverage	LOW
N27_1_2	soxS	soxS	STRESS	2	3.04414	2.0	23.358	0.0169937	Coverage	LOW
N28_1_2	soxS	soxS	STRESS	3	3.04414	3.0	150.605	0.120393	Coverage	LOW
N28_1_4	fepA	fepA	STRESS	2	2.79627	1.95238	15.5652	0.0767706	Coverage	LOW
N28_2_3	soxS	soxS	STRESS	20	3.04414	20.0	23.563	0.114294	Coverage	LOW
N28_2_4	fepA	fepA	STRESS	2	2.66312	2.0	20.4721	0.149329	Coverage	LOW
N29_1_3	clpX	clpX	STRESS	1	5.36585	1.0	57.3806	0.0225669	Coverage	LOW
N29_1_4	betA	betA	STRESS	1	3.69069	1.0	22.8301	0.0287573	Coverage	LOW
N29_1_4	soxS	soxS	STRESS	8	3.04414	8.0	158.178	0.199244	Coverage	LOW
N29_2_3	soxS	soxS	STRESS	4	3.04414	4.0	31.7998	0.0242755	Coverage	LOW
N30_2_4	soxS	soxS	STRESS	12	3.04414	12.0	198.134	0.281423	Coverage	LOW
N31_1_2	soxS	soxS	STRESS	16	3.04414	16.0	110.787	0.132669	Coverage	LOW
N32_1_3	soxS	soxS	STRESS	3	3.04414	3.0	29.7569	0.0253439	Coverage	LOW
N32_2_3	fepA	fepA	STRESS	2	2.92943	2.0	5.93713	0.0145224	Coverage	LOW
N32_2_3	soxS	soxS	STRESS	3	3.04414	3.0	10.1799	0.0249003	Coverage	LOW
N33_1_3	soxS	soxS	STRESS	5	3.04414	5.0	54.4071	0.0969782	Coverage	LOW
N34_2_2	soxS	soxS	STRESS	6	3.04414	6.0	71.5749	0.0434346	Coverage	LOW
N34_2_3	soxS	soxS	STRESS	2	3.04414	2.0	17.1946	0.018472	Coverage	LOW
N35_1_2	soxS	soxS	STRESS	4	3.04414	4.0	136.277	0.230528	Coverage	LOW
N35_1_4	soxS	soxS	STRESS	31	3.04414	31.0	172.278	0.536959	Coverage	LOW
N36_1_2	soxS	soxS	STRESS	3	3.04414	3.0	163.727	0.183151	Coverage	LOW
N36_1_4	soxS	soxS	STRESS	11	3.04414	11.0	61.7019	0.255971	Coverage	LOW
N36_2_2	soxS	soxS	STRESS	1	3.04414	1.0	14.165	0.00860268	Coverage	LOW
N38_1_4	soxS	soxS	STRESS	16	3.04414	16.0	398.007	1.36138	Coverage	LOW
N39_2_3	soxS	soxS	STRESS	3	3.04414	3.0	2.33886	0.0302839	Coverage	LOW
N40_1_2	soxS	soxS	STRESS	2	3.04414	2.0	15.7986	0.0115119	Coverage	LOW
N40_1_4	soxS	soxS	STRESS	3	3.04414	3.0	2.36634	0.0130584	Coverage	LOW
N40_2_2	soxS	soxS	STRESS	10	3.04414	10.0	47.3453	0.100845	Coverage	LOW
