hdf5_output	total_alignments	total_translated_alignments	total_reads_processed	sample_name
/fastpool/analysis/nicu_amr_stress/resistance/N64_2_2/N64_2_2.h5	295	13749604	0	N64_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N64_2_3/N64_2_3.h5	183	10580000	0	N64_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N64_2_4/N64_2_4.h5	5367	26940000	0	N64_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N65_1_2/N65_1_2.h5	12	8791999	0	N65_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N65_1_3/N65_1_3.h5	3	13184198	0	N65_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N65_1_4/N65_1_4.h5	33	9434923	0	N65_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N65_2_2/N65_2_2.h5	32	8093898	0	N65_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N65_2_3/N65_2_3.h5	271	9464461	0	N65_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N65_2_4/N65_2_4.h5	535	23222676	0	N65_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N66_1_2/N66_1_2.h5	389	13899137	0	N66_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N66_1_3/N66_1_3.h5	15	5750000	0	N66_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N66_1_4/N66_1_4.h5	3249	6450397	0	N66_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N66_2_2/N66_2_2.h5	12	6406234	0	N66_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N66_2_3/N66_2_3.h5	89	6889602	0	N66_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N66_2_4/N66_2_4.h5	3140	13796818	0	N66_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N67_1_2/N67_1_2.h5	2460	13515741	0	N67_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N67_1_3/N67_1_3.h5	3545	14629458	0	N67_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N67_1_4/N67_1_4.h5	78062	39459227	0	N67_1_4
