Body Site	Week	n Samples	Mean AMR RPM	Median AMR RPM	Mean Gene Richness
Axilla	Week.1	114	3370.9033759149124	1771.1458140000002	42.25438596491228
Axilla	Week.3	103	3927.067386603884	2902.8605609999995	57.96116504854369
Groin	Week.1	107	2100.1939271523365	248.362162	39.93457943925234
Groin	Week.3	100	4785.802957004001	3711.794241	88.3
Stool	Week.1	116	5194.784437826725	3831.750029	55.991379310344826
Stool	Week.3	102	8535.559491287253	7230.135925500001	96.49019607843137
