body_site	gene	direction	log2_fc	week1_mean	week3_mean	pvalue	fdr
Groin	erm(X)	Increased	3.467586156484051	0.9170950886627908	11.151463168189368	4.429096437242865e-06	0.0002357770012735
Groin	tetAB_B	Increased	3.2939775565786777	0.1498096744186046	2.3501648372093027	0.0186029299011357	0.035501774620488
Groin	cmx	Increased	3.2828053846254788	0.176920519379845	2.5951195116279075	0.0231298024973594	0.0419018161184048
Groin	pbp2m	Increased	3.2493244876055747	1.3636811860465117	13.818442093023254	3.3808075204052003e-06	0.0002357770012735
Groin	tetAB_A	Increased	3.1338796814812286	0.1741327906976744	2.306316639534884	0.0186029299011357	0.035501774620488
Groin	ncrC	Increased	3.0972533009553707	0.0666223255813953	1.3259337209302329	0.0117186855997686	0.0259262955747093
Groin	blaOXA-2_fam	Increased	3.0819827419153536	0.0169624418023255	0.8904115077117525	0.0127921602477328	0.0273336757430189
Groin	arsR_R46	Increased	3.034175310884768	0.2619550348837209	2.865052604651163	5.18642191075362e-05	0.0003087155899258
Groin	arsR_pKW301	Increased	3.0099355114276927	0.2579045813953488	2.783023162790698	2.3807341815615703e-05	0.0002834207359001
Groin	ant(2'')-Ia	Increased	2.930430687466376	0.0087983604651162	0.7294111854345166	0.0069104298078147	0.0169373279603303
Groin	parC	Decreased	1.006322599503638	11.36047208139535	22.9216154521041	0.0009854236862319	0.0028646037390464
Groin	uhpT	Decreased	1.000919914023818	7.893727337209303	15.89765209883721	0.0029681363873781	0.0080655880091798
Groin	parE	Decreased	0.8877666442970233	10.54259320736434	19.592091790697676	0.0011691275939336	0.0032840662750946
Groin	rpoB	Decreased	0.8322868178573992	26.21070304263566	46.746349062015504	0.0034072609840044	0.0091593037204421
Groin	gyrA	Decreased	0.8170252794641131	16.172782568567737	28.56889393607588	0.0061132182895314	0.0151317284394343
Groin	rpsJ	Decreased	0.7589402412518653	1.963573746511628	3.392076680232558	0.0043582283385041	0.0115910328151706
Groin	liaR	Decreased	0.7344239695461333	0.3134268662790697	0.5878319418604651	0.0150629432538565	0.0311217835823481
Groin	liaS	Decreased	0.7321119716468348	0.623005558139535	1.1009620930232558	0.0126825127185749	0.0273330015486528
Groin	liaF	Decreased	0.5629475284198137	0.3658888837209302	0.5882503488372093	0.0206740928925129	0.0385096589881465
Groin	blaSHV	Decreased	0.2275675404925884	2.304280502330101	2.715073835196972	0.0007339789808123	0.0022040633999834
