sample_name	resistance_type	rpm_sum	n_gene_families	SubjectID	Location	SampleType	SampleCollectionWeek
N05_2_3	intrinsic	313.68068999999997	12	N05	UCMC	Groin	Week.3
N05_2_3	acquired	1826.691435	64	N05	UCMC	Groin	Week.3
N05_2_3	unknown	202.432953	16	N05	UCMC	Groin	Week.3
N05_1_3	intrinsic	0.0	0	N05	UCMC	Groin	Week.1
N05_1_3	acquired	75.10879800000001	11	N05	UCMC	Groin	Week.1
N05_1_3	unknown	30.784733	5	N05	UCMC	Groin	Week.1
N05_2_4	intrinsic	305.04143	12	N05	UCMC	Stool	Week.3
N05_2_4	acquired	3214.138402	74	N05	UCMC	Stool	Week.3
N05_2_4	unknown	230.29909	16	N05	UCMC	Stool	Week.3
N06_1_2	intrinsic	40.2831	1	N06	UCMC	Axilla	Week.1
N06_1_2	acquired	4175.18745	31	N06	UCMC	Axilla	Week.1
N06_1_2	unknown	1136.2352130000002	8	N06	UCMC	Axilla	Week.1
N06_1_3	intrinsic	219.42813	14	N06	UCMC	Groin	Week.1
N06_1_3	acquired	1703.988775	63	N06	UCMC	Groin	Week.1
N06_1_3	unknown	425.997074	34	N06	UCMC	Groin	Week.1
N06_1_4	intrinsic	308.73881	13	N06	UCMC	Stool	Week.1
N06_1_4	acquired	3532.549838	75	N06	UCMC	Stool	Week.1
N06_1_4	unknown	707.024212	38	N06	UCMC	Stool	Week.1
N07_1_3	intrinsic	2.36958	1	N07	UCMC	Groin	Week.3
N07_1_3	acquired	3272.584735	48	N07	UCMC	Groin	Week.3
N07_1_3	unknown	401.385579	5	N07	UCMC	Groin	Week.3
N07_1_4	intrinsic	7.24518	1	N07	UCMC	Stool	Week.1
N07_1_4	acquired	4494.843379	49	N07	UCMC	Stool	Week.1
N07_1_4	unknown	85.66743	4	N07	UCMC	Stool	Week.1
N07_2_2	intrinsic	1.54019	1	N07	UCMC	Axilla	Week.3
N07_2_2	acquired	436.996491	37	N07	UCMC	Axilla	Week.3
N07_2_2	unknown	48.451858	4	N07	UCMC	Axilla	Week.3
N07_2_3	intrinsic	304.67755999999997	15	N07	UCMC	Groin	Week.3
N07_2_3	acquired	2549.468903	75	N07	UCMC	Groin	Week.3
N07_2_3	unknown	1341.549229	40	N07	UCMC	Groin	Week.3
N07_2_4	intrinsic	1021.312	16	N07	UCMC	Stool	Week.3
N07_2_4	acquired	2921.341407	43	N07	UCMC	Stool	Week.3
N07_2_4	unknown	3494.00223	33	N07	UCMC	Stool	Week.3
N07_1_2	intrinsic	5.19882	1	N07	UCMC	Axilla	Week.3
N07_1_2	acquired	5212.439354	36	N07	UCMC	Axilla	Week.3
