effect_label	megares_class	coef	pvalue	fdr
Postnatal Week 3 (vs Week 1)	Oxazolidinone	-0.08426650825176953	0.017864671371753064	0.02162565481843792
Postnatal Week 3 (vs Week 1)	Trimethoprim	0.06929871687520199	0.17959456481798242	0.2065337495406798
Low infant abx (vs None)	Tetracyclines	-0.500087869914729	0.0010543426668466298	0.015557650678806385
Low infant abx (vs None)	Fusidic acid	-0.30034658686669974	0.0013528391894614248	0.015557650678806385
Low infant abx (vs None)	Lipopeptides	-0.3125016958539233	0.002411458148234383	0.01848784580313027
Low infant abx (vs None)	Glycopeptides	-0.2102514367762369	0.012308110836413588	0.07077163730937813
Low infant abx (vs None)	Oxazolidinone	-0.14159825237245977	0.017031052900897282	0.0783428433441275
Low infant abx (vs None)	Elfamycins	-0.21378946491483902	0.04372247882577573	0.16760283549880697
Low infant abx (vs None)	Aminocoumarins	-0.1920914035248086	0.0577919187177068	0.18893793424192348
Low infant abx (vs None)	Multi-drug resistance	-0.24594414763654202	0.06962269605712157	0.18893793424192348
Low infant abx (vs None)	Fosfomycin	-0.2128412414610125	0.07804890152673104	0.18893793424192348
Low infant abx (vs None)	Fluoroquinolones	-0.2263683232782924	0.08214692793127108	0.18893793424192348
Low infant abx (vs None)	Mupirocin	-0.17257197545797237	0.09799251357517445	0.20489343747536476
Low infant abx (vs None)	Chromium resistance	0.09737022327972032	0.1170984668644017	0.22443872815676993
Low infant abx (vs None)	Drug and biocide resistance	-0.2385479810990676	0.16610224711948074	0.29387320644215825
Low infant abx (vs None)	betalactams	-0.16290555558520328	0.26195674042492545	0.43035750212666324
Low infant abx (vs None)	MLS	-0.13852779737915477	0.30062171230478696	0.4609532922006733
Low infant abx (vs None)	Aminoglycosides	-0.12360286055742756	0.328000528731238	0.4715007600511546
Low infant abx (vs None)	Phenicol	0.08607555741749878	0.4035651035010722	0.5459998459132154
Low infant abx (vs None)	Cationic antimicrobial peptides	0.03897579318051375	0.4401551747054224	0.5624205010124842
Low infant abx (vs None)	Sulfonamides	0.08325872200400673	0.5265098718552201	0.6373540554036875
Low infant abx (vs None)	Trimethoprim	-0.056539431129706774	0.5943986534429775	0.6763219420845634
High infant abx (vs None)	Fusidic acid	-0.4906409884866265	2.3326822921871435e-08	5.365169272030431e-07
High infant abx (vs None)	Lipopeptides	-0.521488698788604	7.045280924252336e-08	8.102073062890187e-07
High infant abx (vs None)	Oxazolidinone	-0.25309687522618424	5.358337325838144e-06	4.1080586164759105e-05
High infant abx (vs None)	Tetracyclines	-0.6212092999610946	1.138204997241284e-05	6.268234944448388e-05
High infant abx (vs None)	Mupirocin	-0.4252451424837249	1.3626597705322583e-05	6.268234944448388e-05
High infant abx (vs None)	Aminocoumarins	-0.3682120351182766	9.632385776437581e-05	0.00036924145476344063
High infant abx (vs None)	MLS	-0.4864255365327131	0.0001128764409772146	0.0003708797346394194
High infant abx (vs None)	Fosfomycin	-0.387294886207242	0.0005567560392922944	0.0016006736129653464
High infant abx (vs None)	Glycopeptides	-0.25661193323603	0.0009371396600776798	0.0023949124646429594
High infant abx (vs None)	Fluoroquinolones	-0.351208197335981	0.0038356677575477147	0.008822035842359743
High infant abx (vs None)	Multi-drug resistance	-0.3520787209705421	0.005401924210069616	0.011077093297938899
High infant abx (vs None)	Trimethoprim	-0.2710731113043067	0.0057793530250116	0.011077093297938899
High infant abx (vs None)	betalactams	-0.33224290792574107	0.014364178186553188	0.025413546022363336
High infant abx (vs None)	Phenicol	0.20319507881571358	0.03474154621979864	0.05707539736109777
High infant abx (vs None)	Drug and biocide resistance	-0.2694348439894189	0.08975356530680728	0.13290335825233687
High infant abx (vs None)	Cationic antimicrobial peptides	-0.07851608642384968	0.09245451008858217	0.13290335825233687
High infant abx (vs None)	Aminoglycosides	-0.11286678329581157	0.33954409628875926	0.4593831890965567
High infant abx (vs None)	Elfamycins	-0.080964905254386	0.41354084214020603	0.5284132982902633
High infant abx (vs None)	Sulfonamides	0.07005946876402502	0.5656690223814826	0.6847572376196895
High infant abx (vs None)	Phenolic compound resistance	-0.04148428665774672	0.6072386669303047	0.6983244669698504
Maternal abx (vs None)	Drug and biocide and metal resistance	0.20742888918030536	0.05832089548026421	0.643699959406235
Maternal abx (vs None)	Fusidic acid	-0.1557580798507348	0.07819209189163633	0.643699959406235
Maternal abx (vs None)	Phenolic compound resistance	0.1334634079434263	0.1063231304102304	0.643699959406235
Maternal abx (vs None)	Elfamycins	0.1488026846375964	0.1386301271093349	0.643699959406235
Maternal abx (vs None)	Drug and biocide resistance	0.22963013331950616	0.16191887035130992	0.643699959406235
Maternal abx (vs None)	Lipopeptides	-0.13309930212494417	0.17030954914887664	0.643699959406235
Maternal abx (vs None)	Fosfomycin	0.1403546352373853	0.21986499622384292	0.643699959406235
Maternal abx (vs None)	MLS	-0.1528973761317144	0.22633471532533234	0.643699959406235
Maternal abx (vs None)	Drug and metal resistance	0.09095660665021828	0.25188259281113545	0.643699959406235
Maternal abx (vs None)	Sulfonamides	0.13421828191103163	0.28133417255354465	0.6470685968731527
Maternal abx (vs None)	Cationic antimicrobial peptides	0.04744664149698891	0.32338100428485983	0.6541861727547875
Maternal abx (vs None)	Phenicol	-0.08879663893653107	0.3638010813795588	0.6541861727547875
Maternal abx (vs None)	Trimethoprim	0.0901222094151846	0.3697574019918364	0.6541861727547875
Maternal abx (vs None)	Mupirocin	-0.07796063493769707	0.4280577482543345	0.7032377292749781
Maternal abx (vs None)	Tetracyclines	0.09597799219407058	0.507057608045595	0.7676862324655508
Maternal abx (vs None)	Chromium resistance	0.036671058326560035	0.5340425964977744	0.7676862324655508
Maternal abx (vs None)	Aminoglycosides	0.06429950935515169	0.5899437486234003	0.7981591893140122
Maternal abx (vs None)	Multi-drug resistance	-0.057047003023158564	0.6554763350481865	0.8375530947837938
Maternal abx (vs None)	betalactams	0.047662271967535266	0.7281661117396754	0.8773783352415323
Maternal abx (vs None)	Aminocoumarins	0.02885518085949653	0.7629376828187238	0.8773783352415323
Donor milk (vs Mother's)	Cationic antimicrobial peptides	-0.11105873775100876	0.1268140463350745	0.6630436619506216
Donor milk (vs Mother's)	Drug and metal resistance	-0.18027838365787757	0.13323284536951888	0.6630436619506216
Donor milk (vs Mother's)	Sulfonamides	-0.27778062153402433	0.13939544868376968	0.6630436619506216
Donor milk (vs Mother's)	Oxazolidinone	0.10297943034805075	0.21806628273889062	0.6630436619506216
Donor milk (vs Mother's)	Phenicol	-0.17200334756525856	0.24424400947815617	0.6630436619506216
Donor milk (vs Mother's)	Multi-drug resistance	0.22251434580927354	0.24553545192042114	0.6630436619506216
Donor milk (vs Mother's)	Lipopeptides	0.15650358210297072	0.2790527978484181	0.6630436619506216
Donor milk (vs Mother's)	Fusidic acid	0.13867859338311117	0.29383620338695826	0.6630436619506216
Donor milk (vs Mother's)	Glycopeptides	0.12246341465033138	0.3092048270497887	0.6630436619506216
Donor milk (vs Mother's)	MLS	-0.19026496643868812	0.31075410056097197	0.6630436619506216
Donor milk (vs Mother's)	Aminoglycosides	0.16955485854461488	0.34263787123263645	0.6630436619506216
Donor milk (vs Mother's)	Fluoroquinolones	0.17225840494768008	0.3502269561274973	0.6630436619506216
Donor milk (vs Mother's)	Tetracyclines	0.1830506820465613	0.40183065361356707	0.6630436619506216
Donor milk (vs Mother's)	Aminocoumarins	0.12000263499990435	0.40359179423081315	0.6630436619506216
