sample_name	Aminocoumarins	Aminoglycosides	Bacitracin	Cationic antimicrobial peptides	Chromium resistance	Drug and biocide and metal resistance	Drug and biocide resistance	Drug and metal resistance	Elfamycins	Fluoroquinolones	Fosfomycin	Fusidic acid	Glycopeptides	Lipopeptides	MLS	Multi-biocide resistance	Multi-drug resistance	Multi-metal resistance	Mupirocin	Oxazolidinone	Phenicol	Phenolic compound resistance	Rifampin	Sulfonamides	Tetracyclines	Trimethoprim	betalactams
N66_2_2	13.07301	338.90727	0.0	0.0	0.0	0.0	25.650834	1.0399	9.70572	75.71449	4.35767	10.745619000000001	1.23797	30.553160000000002	218.972794	0.0	104.08887	0.0	10.49801	1.08942	0.0	0.0	0.0	0.0	767.791325	1.63413	110.130178
N66_1_2	31.055	294.28561	0.0	0.0	0.0	0.0	18.577065	0.0	0.0	85.8206	37.103462	35.62938	7.31903	90.34429	864.3565120000001	0.0	141.7808	0.0	70.69969999999999	5.64175	12.96078	0.0	0.0	1.93141	453.576595	9.91118	528.39274
N66_2_4	108.27729	30.506798000000003	0.0	0.0	0.0	92.93220000000001	1105.414262	28.380170999999997	88.7522	1058.90282	244.091271	0.0	9.093387	161.150819	19.03015	0.0	2631.215108	0.0	0.0	0.0	0.550003	35.8969	0.0	50.215287	181.83098	0.0	933.795268
N66_2_3	174.8918	753.4129	0.0	0.0	0.0	3.8064	872.172866	55.37037	84.1468	624.40164	77.29524	0.0	0.0	185.549272	7.257536	0.0	452.0479	39.1805	0.0	0.0	54.101699999999994	1.2688	0.0	660.94366	38.571436	0.0	2194.56617
N67_1_2	93.9145	476.9339	0.0	0.0	0.0	0.0	55.51048	0.0	0.0	191.3658	138.632045	106.8819	42.5955	259.63344	2393.31661	0.0	322.689	0.0	182.6422	18.5733	0.0	0.0	0.0	5.57986	41.102360000000004	32.2217	1338.53736
N67_1_3	18.0002	45.696196	0.0	0.0	0.0	0.0	34.317	0.0	0.0	46.81838	34.204868	23.29694	3.45639	53.4619	704.1841	0.0	63.898399999999995	0.0	19.48152	4.26438	0.0	0.0	0.0	6.17213	60.86843999999999	5.56614	278.91305
N67_2_2	4.86493	1005.580838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.60755	3.3706959999999997	7.92288	1.18148	41.76885	480.099021	0.0	174.6854	0.0	6.70665	0.868737	84.2328	0.0	0.0	98.16737	1979.087745	10.07736	130.7971
N67_2_3	39.2579	15.30095	0.0	2.5793	3.8471	33.05006	438.0446	10.66695	60.3295	413.91243	86.29741	0.0	21.858498	194.365881	53.33478	0.0	1071.85391	0.0	0.0	0.0	0.0	11.3227	0.0	15.475819999999999	288.4886	0.0	323.54958
N67_2_4	47.6138	43.144220000000004	0.0	1.34086	1.40659	17.15517	233.90168	4.351229	45.7339	293.12305	46.102063	14.526006	42.947055999999996	227.854701	160.03587	2.28735	683.95826	0.0	3.64136	0.82818	0.0	6.92779	0.0	7.6245140000000005	434.05854999999997	0.82818	221.91284100000001
N67_1_4	154.579	99.8381607	0.0	0.0	0.0	0.0	295.0292	0.0	0.0	396.8896	292.47529	194.0791	26.1381	602.03355	749.97893	0.0	696.874	0.0	147.8564	39.3694	0.0	0.0	0.0	47.3482	761.80197	36.3532	1671.61186
N68_1_2	74.1989	781.15563	0.0	0.0	0.0	0.0	40.94724	0.0	0.0	183.3723	113.538025	90.394	35.032	213.57982	3511.12276	0.0	319.99710000000005	0.0	150.5226	15.6208	0.0	0.0	0.0	3.96263	785.92288	26.6473	1220.26145
N68_1_3	60.0321	552.713574	0.0	0.0	0.0	0.0	106.3001	0.0	0.0	194.093	101.26596599999999	76.7642	12.7164	196.68342	1936.73766	0.0	270.9737	0.0	72.894	15.1608	8.03142	0.0	0.0	40.913740000000004	1093.17694	18.71094	1073.971908
N68_2_2	3.24229	11.92019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81446	3.24229	3.671411	1.52578	9.25006	179.5651	0.0	20.359659999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.606116	1.28738	47.7761
N68_2_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.332292	0.0	9.14892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43769
N68_2_4	60.5665	355.3755	0.0	0.0	0.0	0.0	103.9856	0.0	0.0	347.5098	99.00385	80.5455	7.91821	571.42212	1261.8796	0.0	405.507	0.0	52.2812	11.117	0.0	0.0	0.0	16.3608	1024.3331	16.88517	756.58245
N68_1_4	19.969	66.17623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.47489	11.483511000000002	22.967019999999998	0.599602	54.10841	681.7393	0.0	71.6334	0.0	19.03548	4.47804	423.3263	0.0	0.0	0.0	1.94301	2.406	339.26036
ZJH_N1_1_2	0.0	15.03684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.18242	0.0	0.0
ZJH_N1_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N1_1_4	0.0	0.160819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N1_2_2	0.0	194.68132	0.0	0.0	0.0	0.308556	5.999689999999999	0.0	2.91413	29.0042	0.0	2.777	0.0	15.42781	204.88088	0.0	34.98678	0.0	0.0	0.394265	0.0	0.0	0.0	0.0	62.551069999999996	0.0	50.2602
