megares_class	effect	effect_label	coef	se	pvalue	fdr
Aminocoumarins	BodySite[T.Groin]	Groin (vs Axilla)	-0.052532715727872215	0.06634640265849685	0.4284805185446451	0.46928818697746844
Fosfomycin	BodySite[T.Groin]	Groin (vs Axilla)	0.054694944509764615	0.07339311862762024	0.4561311192544488	0.47686435194783283
Fluoroquinolones	BodySite[T.Groin]	Groin (vs Axilla)	-0.049078236184456496	0.08691078679220679	0.5722800659845801	0.5722800659845801
Phenolic compound resistance	BodySite[T.Stool]	Stool (vs Axilla)	0.7747418640826004	0.05044187183463458	3.0780776055598593e-53	6.882144270555259e-52
Drug and biocide and metal resistance	BodySite[T.Stool]	Stool (vs Axilla)	0.9856284448665502	0.06435313428486152	5.984473278743703e-53	6.882144270555259e-52
Elfamycins	BodySite[T.Stool]	Stool (vs Axilla)	0.9414447023672391	0.0637662232911578	2.4999230584966144e-49	1.9166076781807378e-48
Drug and biocide resistance	BodySite[T.Stool]	Stool (vs Axilla)	1.2994183716042147	0.0912876846174732	5.610376546058385e-46	3.2259665139835715e-45
Drug and metal resistance	BodySite[T.Stool]	Stool (vs Axilla)	0.5939665681432069	0.04690413834779165	9.430592788465695e-37	4.3380726826942196e-36
MLS	BodySite[T.Stool]	Stool (vs Axilla)	-1.0822838625688256	0.10359817822528535	1.5133058892240206e-25	5.801005908692079e-25
Chromium resistance	BodySite[T.Stool]	Stool (vs Axilla)	0.3671867710285783	0.03537176006296062	3.0325904024715795e-25	9.964225608120904e-25
Fluoroquinolones	BodySite[T.Stool]	Stool (vs Axilla)	0.7107566822353414	0.08657277501186861	2.213119593542247e-16	6.36271883143396e-16
Fosfomycin	BodySite[T.Stool]	Stool (vs Axilla)	0.5984621076646988	0.07312307788205692	2.738629664532916e-16	6.998720253806341e-16
Sulfonamides	BodySite[T.Stool]	Stool (vs Axilla)	0.5430689728254995	0.07810139826882904	3.566275153833805e-12	8.202432853817752e-12
Cationic antimicrobial peptides	BodySite[T.Stool]	Stool (vs Axilla)	0.18302969988350384	0.027778305256405855	4.429655818275891e-11	9.262007620031408e-11
