Variable,Coefficient,P-value,Significant
C(UVC)[T.UVC],-2.925917920802698,1.3723414297947977e-07,True
C(SampleType)[T.Groin],1.7996113388094455,6.406610988696285e-07,True
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-1.3270621331926995,0.0175053375719916,True
Intercept,2.086984038649767,0.041094876569221034,True
Group Var,0.06796390512907684,0.09139019578769332,False
C(GestationCohort)[T.28-32 Weeks],-1.1056616033222746,0.09516474192515757,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.8615637948184065,0.10226673746326219,False
C(SampleCollectionWeek)[T.Week.3],0.3966465073663763,0.16909411776658767,False
C(PICC)[T.PICC_LE],-0.7993808352588309,0.16996322544561848,False
C(Delivery)[T.Vaginal],-0.71813645518501,0.17160398046639014,False
C(AnyMilk)[T.No.Milk],-1.141167576688742,0.1777219495256911,False
C(PICC)[T.PICC_Neck],-1.4985927379208182,0.21265652075100738,False
C(Location)[T.Hangzhou],0.5945896146949191,0.24507266603690192,False
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.4758597945134743,0.2792227713987837,False
C(PICC)[T.peripheral_UE],-1.0686651689366395,0.3023642048117041,False
C(PICC)[T.axillary],-0.8900594931418482,0.40137843158791087,False
C(AnyMilk)[T.Mother],-0.493041556037453,0.4432107932409779,False
C(SampleType)[T.Stool],-0.25660654497570845,0.4462817995613181,False
C(GestationCohort)[T.33-36 Weeks],-0.561942532874314,0.4975311347425351,False
C(PICC)[T.PICC_UE],0.17681204876282966,0.7285221039428456,False
