model	r_squared	adj_r_squared	aic	bic	residual_std	mean_absolute_error
N_mutations	0.1290298124209327	0.12210360814595	1908.0959858021356	1929.248393040028	1.5671617444603085	1.2367616738973373
Mean_frequency	0.025437984922240586	0.01768798877848099	-78.24782157833977	-57.095414340447356	0.22184049966527572	0.1837975408406553
