sample_name	ESBL	Carbapenemase	Methicillin (mecA)	Aminoglycoside	Fluoroquinolone	Macrolide (MLS)	Tetracycline	Sulfonamide	Trimethoprim	Colistin (mcr)	Vancomycin (VRE)
N54_2_4	293.81344	0.0	0.0	26.7949	76.5979	384.49549	213.583913	45.8613	2.54662	0.0	0.0
N54_1_2	0.0	0.0	380.81629999999996	598.43544	0.0	3941.37876	674.71714	32.27015	21.4149	0.0	0.0
N55_1_2	0.0	0.0	76.75004	498.64372	0.0	492.3788	6.8676	728.6623000000001	94.15119	0.0	0.0
N55_1_3	0.0	0.0	0.0	0.0	0.0	7.88085	0.0	0.0	0.0	0.0	0.0
N55_1_4	0.0	0.0	310.307	33.591989999999996	0.0	475.799733	1368.66027	0.0	14.178558	0.0	0.0
N55_2_3	604.10033	0.0	0.0	27.0342	114.9795	412.916644	223.49013	26.7351	0.860009	0.0	0.0
N55_2_4	546.86348	0.0	0.0	21.89242	80.7844	272.71702	133.656182	17.2462	0.0	0.0	0.0
N55_2_2	0.0	0.0	83.49571	491.36698	0.0	436.12097	2215.48633	104.64752999999999	13.98169	0.0	0.0
N56_1_2	0.0	0.0	1767.605	812.562224	0.0	5004.579159999999	24.8498	0.0	43.974	0.0	0.0
N56_1_4	1426.7528	0.0	0.0	399.6614	0.0	405.156	1382.4454	515.8541	0.0	0.0	0.0
N56_1_3	6.842599	0.0	153.3689	57.41488	0.0	1007.080997	2.00559	7.983034	3.8932	0.0	0.0
N57_1_3	159.38214	0.0	0.0	7.01165	50.266299999999994	132.762	83.075994	30.125923999999998	2.5386990000000003	0.0	0.0
N57_1_4	0.0	0.0	747.2304	80.9886	0.0	575.453593	18.79296	0.0	26.7583	0.0	0.0
N57_2_2	0.0	0.0	541.5162	417.77149000000003	0.0	1789.9259	616.55821	24.447587	19.079127	0.0	0.0
N57_1_2	4.745914	0.0	13.52336	20.846295	5.9706600000000005	109.15606199999999	31.409854000000003	2.0922840000000003	0.893048	0.0	0.0
N57_2_4	161.88362	0.0	0.0	24.305534	64.55391	408.744	204.802037	116.26469	18.61278	0.0	0.0
N57_2_3	0.0	0.0	169.0682	74.29544899999999	0.0	267.99302	120.90826	3.01253	5.5365400000000005	0.0	0.0
N58_1_2	0.0	0.0	180.3029	359.95573	0.0	274.19861000000003	770.3016	0.0	10.4762	0.0	0.0
N58_1_3	0.0	0.0	70.6491	30.484368	0.0	80.36469000000001	0.492819	0.0	2.92171	0.0	0.0
N58_2_2	0.0	0.0	102.2176	1025.84234	0.0	935.917466	2203.80805	0.0	5.09866	0.0	0.0
N58_2_3	0.0	0.0	0.0	29.432	176.4802	553.21	277.2772	37.6169	0.0	0.0	0.0
N58_2_4	0.0	0.0	0.0	25.5576	105.4606	400.323	188.6415	23.7524	0.0	0.0	1.09261
N58_1_4	0.0	0.0	0.0	27.162848999999998	110.401	415.131764	228.46747	22.8352	0.0	0.0	0.0
N59_1_2	0.0	0.0	1127.8024	650.3850600000001	0.0	2849.0697	471.20120000000003	0.0	55.8701	0.0	0.0
N59_1_4	0.0	0.0	203.11090000000002	28.618920000000003	0.0	670.3491	2225.1615	0.0	7.18622	0.0	0.0
