category	effect	effect_label	coef	se	pvalue	fdr
Sulfonamide	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.13421828191103163	0.12458452549982821	0.28133417255354465	0.6388496277670851
Trimethoprim	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.10150377868614466	0.10178914452057058	0.3186691393551728	0.6388496277670851
ESBL	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.13952150130509858	0.1607602129026766	0.3854568692634128	0.6388496277670851
Colistin (mcr)	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.02490826276703556	0.03233451332665569	0.4411038510967682	0.6388496277670851
Fluoroquinolone	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.07951124834010324	0.10580342884491882	0.4523519624662906	0.6388496277670851
Methicillin (mecA)	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.10027029533176154	0.13475816353191014	0.45683058748747796	0.6388496277670851
Tetracycline	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.1067513130713724	0.14598190547408368	0.4646179111033346	0.6388496277670851
Aminoglycoside	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.0662903182506592	0.11931276091546017	0.5784834816471138	0.7070353664575835
Vancomycin (VRE)	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.00542999240846942	0.021255936958859883	0.798369623486658	0.8782065858353237
Macrolide (MLS)	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.008240610761472592	0.11324321532467699	0.9419898329584717	0.9419898329584717
Methicillin (mecA)	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.582360932986841	0.13364620328605362	1.3156727991531928e-05	0.00013219463845062465
Tetracycline	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.6027328713328536	0.14270352567576094	2.403538880920448e-05	0.00013219463845062465
