species	n_samples	n_unique_mutations	mean_resistance_freq
Staphylococcus_aureus	339	21	0.757072239747634
Klebsiella_pneumoniae	214	22	0.6653932835820895
Enterococcus_faecium	180	1	0.9980132575757577
Enterococcus_faecalis	132	1	0.9963876237623762
Escherichia_coli	73	19	0.025443382352941177
Klebsiella_oxytoca	62	11	0.11562555555555555
Pseudomonas_aeruginosa	35	7	0.408438
Streptococcus_mitis	33	2	0.7881341463414634
Streptococcus_oralis	17	2	0.459247619047619
