species	Location	n_samples	mean_n_mutations	mean_mutation_freq	total_samples	prevalence_pct
Morganella_morganii	UCMC	3	1.0	0.0476	299	1.0033444816053512
Morganella_morganii	ZCH	2	1.0	0.01585	209	0.9569377990430622
Mycobacterium_tuberculosis	UCMC	149	2.033557046979866	0.7127327109300096	299	49.83277591973244
Mycobacterium_tuberculosis	ZCH	94	2.2127659574468086	0.6671539197061803	209	44.97607655502392
Neisseria_gonorrhoeae	UCMC	1	1.0	0.0044	299	0.33444816053511706
Neisseria_gonorrhoeae	ZCH	1	1.0	0.0044	209	0.4784688995215311
Parabacteroides_distasonis	UCMC	4	1.0	0.036425	299	1.3377926421404682
Parabacteroides_distasonis	ZCH	4	1.0	0.036425	209	1.9138755980861244
Phocaeicola_vulgatus	UCMC	4	1.0	0.036425	299	1.3377926421404682
Phocaeicola_vulgatus	ZCH	4	1.0	0.036425	209	1.9138755980861244
Prevotella_melaninogenica	UCMC	4	1.0	0.025575	299	1.3377926421404682
Prevotella_melaninogenica	ZCH	4	1.0	0.025575	209	1.9138755980861244
Proteus_mirabilis	UCMC	12	1.1666666666666667	0.08683333333333333	299	4.013377926421405
Proteus_mirabilis	ZCH	10	1.1	0.082875	209	4.784688995215311
Providencia_stuartii	UCMC	4	1.0	0.3186	299	1.3377926421404682
Providencia_stuartii	ZCH	2	1.0	0.29175	209	0.9569377990430622
Pseudomonas_aeruginosa	UCMC	30	1.4666666666666666	0.04263611111111111	299	10.033444816053512
Pseudomonas_aeruginosa	ZCH	23	1.391304347826087	0.03346739130434783	209	11.004784688995215
Roseburia_hominis	UCMC	1	1.0	1.0	299	0.33444816053511706
Roseburia_intestinalis	UCMC	1	1.0	1.0	299	0.33444816053511706
Rothia_mucilaginosa	UCMC	10	1.2	0.890475	299	3.3444816053511706
Rothia_mucilaginosa	ZCH	8	1.125	0.9464312500000001	209	3.827751196172249
Ruminococcus_bromii	UCMC	17	1.0	0.7796882352941177	299	5.68561872909699
Ruminococcus_bromii	ZCH	13	1.0	0.8178307692307693	209	6.220095693779904
Salmonella_enterica	UCMC	107	2.878504672897196	0.022804015724669932	299	35.785953177257525
Salmonella_enterica	ZCH	83	2.63855421686747	0.02480092943201377	209	39.71291866028708
Serratia_marcescens	UCMC	15	1.0	0.1984	299	5.016722408026756
Serratia_marcescens	ZCH	11	1.0	0.24519090909090913	209	5.263157894736842
Shigella_flexneri	UCMC	59	1.5254237288135593	0.14462118644067798	299	19.732441471571907
Shigella_flexneri	ZCH	46	1.434782608695652	0.1796554347826087	209	22.00956937799043
Shigella_sonnei	UCMC	63	1.3015873015873016	0.13008359788359788	299	21.070234113712374
Shigella_sonnei	ZCH	47	1.297872340425532	0.1623003546099291	209	22.48803827751196
Staphylococcus_aureus	UCMC	59	1.1864406779661016	0.13299858757062147	299	19.732441471571907
Staphylococcus_aureus	ZCH	37	1.1081081081081081	0.10936621621621621	209	17.703349282296653
Staphylococcus_epidermidis	UCMC	75	1.4933333333333334	0.027765777777777778	299	25.08361204013378
Staphylococcus_epidermidis	ZCH	53	1.6037735849056605	0.02946006289308176	209	25.358851674641148
Staphylococcus_saprophyticus	UCMC	42	1.4523809523809523	0.06418738095238094	299	14.046822742474916
Staphylococcus_saprophyticus	ZCH	32	1.40625	0.07196489583333333	209	15.311004784688995
Stenotrophomonas_maltophilia	UCMC	1	1.0	0.0909	299	0.33444816053511706
Stenotrophomonas_maltophilia	ZCH	1	1.0	0.0909	209	0.4784688995215311
Streptococcus_agalactiae	UCMC	3	1.0	0.0537	299	1.0033444816053512
Streptococcus_agalactiae	ZCH	2	1.0	0.0421	209	0.9569377990430622
Streptococcus_mitis	UCMC	3	1.0	0.10316666666666667	299	1.0033444816053512
Streptococcus_mitis	ZCH	3	1.0	0.10316666666666667	209	1.4354066985645932
Streptococcus_mutans	UCMC	3	1.3333333333333333	0.35969999999999996	299	1.0033444816053512
Streptococcus_mutans	ZCH	2	1.5	0.5168	209	0.9569377990430622
Streptococcus_oralis	UCMC	2	1.0	0.1443	299	0.6688963210702341
Streptococcus_oralis	ZCH	2	1.0	0.1443	209	0.9569377990430622
Streptococcus_parasanguinis	UCMC	4	1.75	0.05057083333333333	299	1.3377926421404682
Streptococcus_parasanguinis	ZCH	2	2.0	0.013816666666666666	209	0.9569377990430622
Streptococcus_pneumoniae	UCMC	4	1.0	0.082925	299	1.3377926421404682
Streptococcus_pneumoniae	ZCH	4	1.0	0.082925	209	1.9138755980861244
Streptococcus_pyogenes	UCMC	6	1.3333333333333333	0.025150000000000002	299	2.0066889632107023
Streptococcus_pyogenes	ZCH	4	1.5	0.029349999999999998	209	1.9138755980861244
Streptococcus_sanguinis	UCMC	1	1.0	0.025	299	0.33444816053511706
Streptococcus_sanguinis	ZCH	1	1.0	0.025	209	0.4784688995215311
Veillonella_dispar	UCMC	64	1.515625	0.221655078125	299	21.40468227424749
Veillonella_dispar	ZCH	46	1.4565217391304348	0.20656177536231884	209	22.00956937799043
Veillonella_parvula	UCMC	66	1.5	0.22871376262626264	299	22.073578595317723
Veillonella_parvula	ZCH	46	1.4565217391304348	0.2086842391304348	209	22.00956937799043
Yersinia_pestis	UCMC	7	1.1428571428571428	0.03176428571428571	299	2.341137123745819
Yersinia_pestis	ZCH	4	1.25	0.0439875	209	1.9138755980861244
