Species	UCMC_N	UCMC_%	ZCH_N	ZCH_%	Location_p	Axilla_%	Groin_%	Stool_%	BodySite_p	BodySite_FDR	Top_Mutation
Actinomyces_oris	4	1.3	2	1.0	1.000	1.9	1.1	1.0	0.824	0.836	Actinomyces_oris_gyrA_121_Q->H
Faecalibacterium_prausnitzii	1	0.3	1	0.5	1.000	0.0	1.1	0.0	0.300	0.491	Faecalibacterium_prausnitzii_gyrA_94_D->W
Streptococcus_mutans	3	1.0	2	1.0	1.000	0.0	1.1	1.9	0.377	0.491	Streptococcus_mutans_gyrA_81_S->L
Stenotrophomonas_maltophilia	1	0.3	1	0.5	1.000	0.0	1.1	0.0	0.300	0.491	Stenotrophomonas_maltophilia_gyrB_442_D->N
Streptococcus_parasanguinis	4	1.3	2	1.0	1.000	0.0	2.3	1.9	0.320	0.491	Streptococcus_parasanguinis_parC_79_S->R
Streptococcus_sanguinis	1	0.3	1	0.5	1.000	0.0	0.0	1.0	0.396	0.491	Streptococcus_sanguinis_parC_79_S->R
Akkermansia_muciniphila	1	0.3	0	0.0	1.000	0.9	0.0	0.0	0.401	0.491	Akkermansia_muciniphila_gyrB_456_D->N
Neisseria_gonorrhoeae	1	0.3	1	0.5	1.000	0.9	0.0	0.0	0.401	0.491	Neisseria_gonorrhoeae_parC_91_E->Q
Collinsella_aerofaciens	2	0.7	2	1.0	1.000	0.9	1.1	0.0	0.572	0.615	Collinsella_aerofaciens_gyrB_437_D->N
Streptococcus_oralis	2	0.7	2	1.0	1.000	0.0	1.1	1.0	0.568	0.615	Streptococcus_oralis_parE_475_E->D
Blautia_obeum	1	0.3	0	0.0	1.000	0.0	0.0	1.0	0.396	0.491	Blautia_obeum_gyrA_84_S->L
Dorea_longicatena	1	0.3	0	0.0	1.000	0.0	0.0	1.0	0.396	0.491	Dorea_longicatena_gyrA_84_S->L
Helicobacter_pylori	1	0.3	0	0.0	1.000	0.0	0.0	1.0	0.396	0.491	Helicobacter_pylori_gyrA_110_Q->H
Roseburia_hominis	1	0.3	0	0.0	1.000	0.0	0.0	1.0	0.396	0.491	Roseburia_hominis_gyrA_84_S->L
Roseburia_intestinalis	1	0.3	0	0.0	1.000	0.0	0.0	1.0	0.396	0.491	Roseburia_intestinalis_gyrA_84_S->L
