Body Site	Week	n Samples	Mean AMR RPM	Median AMR RPM	Mean Gene Richness
Axilla	Week.1	110	776.0042801634455	608.17542681	109.69090909090909
Axilla	Week.3	94	694.1028145235107	618.7064102000002	135.95744680851064
Groin	Week.1	104	982.8497918372115	549.0338928799999	121.6923076923077
Groin	Week.3	95	2552.7746065148417	1994.91111601	149.07368421052632
Stool	Week.1	110	3005.899736905728	2270.7447895	118.19090909090909
Stool	Week.3	93	4887.665049150967	4133.91474532	139.58064516129033
