body_site	gene	direction	log2_fc	week1_mean	week3_mean	pvalue	fdr
Groin	pic_auto	Increased	5.021305857594231	0.0868241197435897	5.9673161482051285	0.0089033851158813	0.0219802320048321
Groin	vac_auto	Increased	4.934685066357768	0.011587661025641	3.312749397179488	0.0083606538180706	0.021079520796625
Groin	sat_auto	Increased	4.183779816735402	0.5564941230769231	11.830923546153846	0.0122747561745616	0.0288031407264465
Groin	hlyE	Increased	3.881399647975368	0.099532823076923	2.8405736846153853	0.0159064441017033	0.0345855711202174
Groin	tsh	Increased	3.8338127624926415	0.011779751025641	1.493880572820513	0.0140973541205042	0.0315195559109388
Groin	espC	Increased	3.813562594054989	0.0799910943589743	2.430741277435897	0.0013462033496218	0.0072511407695541
Groin	lpfA1	Increased	3.737118346793744	0.1587370076923077	3.350192056410256	0.0120633234188548	0.0286570367966851
Groin	pet	Increased	3.5967827894345685	0.2330273435897435	3.9292053387179497	0.0056180460564988	0.0182394097998662
Groin	mexE	Increased	3.2814704065467577	0.5320627076923077	6.045839148717949	0.0047920095057467	0.0164595109110431
Groin	epeA	Increased	3.2288877637777675	0.2144354528205128	2.84797350974359	0.0041372079946435	0.0148563377989472
Groin	air	Decreased	0.7948165896412103	3.6458421002564094	6.398499666666666	0.0163901971545179	0.0349952858164031
Groin	cesC	Decreased	0.7642998977525233	10.019986051282054	17.089257156410255	0.0230281036965607	0.0458626939166797
Groin	copB_Ehir	Decreased	0.7244460098564637	3.915970105128206	6.5354510615384624	0.0197126108323573	0.0399306732245186
Groin	alpha-1	Decreased	0.5981304866278786	0.0030495166666666	0.0559915871794871	0.0245404989710912	0.0484674854679052
Groin	aut	Decreased	0.4535312599946528	0.4585492076923077	0.6648705743589745	0.0194200848116658	0.0399306732245186
Groin	bimA_Bm	Decreased	-0.2301989043712849	243.0098692307692	207.1553807692308	0.0051873118209186	0.0173153929796863
Groin	seh	Decreased	-0.2431399707764389	0.0183565846153846	0.0	0.0076857940552132	0.0202392576787282
Groin	capC	Decreased	-0.8479303703697865	4.694470999999999	2.5637178461538457	0.0184437844947903	0.0385746444190806
Groin	lmrS	Decreased	-1.290414973495672	21.73726718974359	8.827804551282052	0.0081912964960793	0.0208745942964601
Groin	sph	Decreased	-1.363432687100084	2.4666311948717947	0.8975377333333333	0.008484313822872	0.0211661302739017
Stool	merF	Increased	5.2916516341724815	0.0	3.816930525000001	0.0117186855997686	0.0289305050744288
Stool	cadC_Lm	Increased	2.8832884301697783	1.590421895	12.372439697500004	0.000645946868882	0.0033280306070662
Stool	arsH	Increased	2.528182476530785	8.1612587375	47.554617075	0.0001841755512996	0.0017459842263208
Stool	mtrF	Increased	2.243474432971208	0.1273358684999999	0.97651742	0.014153258522665	0.0334705458029604
Stool	arsD	Increased	1.994194303344893	14.6648392775	58.72216788000001	0.0041806468657305	0.0122322630515821
Stool	fdeC	Increased	1.87533743614801	5.1333485985	19.1004976325	0.008825909384599	0.0229861596060436
Stool	hlyE	Increased	1.8179224803809144	1.11535059	4.18499947	0.0075982230820632	0.020233470454483
Stool	iss	Increased	1.7568439256959167	5.1559287	17.662831025	0.0113223714494854	0.028246337195032
Stool	sinH	Increased	1.7339286266992258	2.072797673	7.127428675	1.2242096855256038e-05	0.0003626721193369
Stool	copC_Psyr	Increased	1.724191336797824	0.0539745925	0.4087241725	0.0044627877475162	0.0128985450751383
Stool	arsR_pSX267	Decreased	-2.689524824130863	21.7660057	3.289548175	3.136775520963842e-05	0.0005687844110299
Stool	arsR_pI258	Decreased	-2.724205449616988	22.11289315	3.2615345	3.359907913256955e-05	0.0005687844110299
Stool	inhA2	Decreased	-2.962940501229904	0.6820244449999999	0.000296635	0.0058470757973204	0.0159553227843137
Stool	arsP	Decreased	-3.1316584815092936	3.2877323849999995	0.2865324475	2.3772920020891243e-05	0.0005121983677228
Stool	lmrS	Decreased	-3.7025783988914784	57.61770471249999	4.33324663	7.984491494520765e-06	0.0002858414754449
Stool	arsC_thio	Decreased	-3.9926881411014814	29.116831225	1.73533023	1.6686801078602769e-06	0.0001318257285209
Stool	sph	Decreased	-4.114477122436544	7.233760612500001	0.323394975	1.5446644624899894e-05	0.000406761641789
Stool	qacR	Decreased	-4.327315182213038	33.6160455	1.5795191525	8.442575224111161e-06	0.0002858414754449
Stool	capB	Decreased	-4.841624637286471	6.4539648625	0.12857559825	1.6430389519899428e-06	0.0001318257285209
Stool	capC	Decreased	-5.680366555665525	17.148983917499997	0.2363588025	5.386223400735388e-07	0.0001276534945974
