Model	Parameter	Coefficient	Std_Error	Z_value	p_value	CI_95_Lower	CI_95_Upper
N_mutations (OLS)	Intercept	2.362	0.151	15.65	2.855e-45	2.066	2.658
N_mutations (OLS)	BodySite[T.Groin]	0.971	0.175	5.55	4.688e-08	0.628	1.314
N_mutations (OLS)	BodySite[T.Stool]	1.379	0.17	8.13	3.446e-15	1.047	1.712
N_mutations (OLS)	Week[T.Week 3]	0.326	0.14	2.33	0.020	0.052	0.601
Mean_frequency (OLS)	Intercept	0.787	0.021	36.85	5.247e-145	0.745	0.829
Mean_frequency (OLS)	BodySite[T.Groin]	-0.061	0.025	-2.47	0.014	-0.11	-0.013
Mean_frequency (OLS)	BodySite[T.Stool]	-0.081	0.024	-3.37	8.007e-04	-0.128	-0.034
