Location,n_samples,n_mecA_positive,prevalence_pct,mean_rpm_positive,median_rpm_positive
UCMC,386,325,84.19689119170984,670.8466707692307,165.9566
ZCH,283,221,78.09187279151944,711.4002669683257,162.8875
