gene	UCMC_n	UCMC_mean	UCMC_median	ZCH_n	ZCH_mean	ZCH_median	statistic	p_value	fdr
parC	177	0.08358079096045198	0.0137	135	0.07571185185185185	0.0132	12254.5	0.6977966633596866	0.8396169203936262
parE	342	0.11117660818713451	0.0238	253	0.13259486166007903	0.0222	43812.0	0.7912996628146993	0.8396169203936262
gyrA	1095	0.15223771689497717	0.0274	807	0.14612304832713754	0.0277	444379.5	0.8296600071683017	0.8396169203936262
gyrB	279	0.6572408602150538	0.9976	186	0.6466161290322581	0.9894499999999999	26232.5	0.8396169203936262	0.8396169203936262
