gene	Axilla_n	Axilla_mean	Groin_n	Groin_mean	Stool_n	Stool_mean	statistic	p_value	fdr
gyrB	174	0.9395258620689655	180	0.6679488888888889	111	0.17957207207207215	149.14432430973008	4.108861216912619e-33	1.6435444867650476e-32
parE	19	0.389121052631579	187	0.12724278074866313	389	0.10380771208226221	36.52702902190511	1.1701901219479588e-08	2.3403802438959177e-08
gyrA	247	0.17351174089068824	535	0.09784542056074766	1120	0.16912223214285715	14.66521350382507	0.0006538668948517595	0.0008718225264690128
parC	13	0.42708461538461534	92	0.023023913043478263	207	0.0837903381642512	13.693644240774761	0.0010628278709044826	0.0010628278709044826
