body_site	n_subjects	week1_mean	week1_median	week3_mean	week3_median	mean_change	percent_change	wilcoxon_pvalue	fdr
Axilla	92	3336.7603523347825	1740.1235805000001	3850.5699074500008	2874.8751294999997	513.8095551152182	15.398455413667866	0.27387392416892076	0.27387392416892076
Groin	86	2367.171007068605	253.843031	4584.205539845349	3022.8696429	2217.0345327767445	93.65755689624712	4.732348536251263e-05	0.0001419704560875379
Stool	95	5211.640967560001	3763.8084344	8379.101091255789	7330.305703	3167.460123695788	60.776637212957084	0.00042032577455406584	0.0006304886618310988
