Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(SampleType)[T.Stool],3.3103917094203656,0.3342232570077767,9.904731762407962,3.9703403371293053e-23,2.655326162889449,3.965457255951282,True
C(SampleCollectionWeek)[T.Week.3],-1.9964452494766116,0.2868809943519208,-6.959140859040474,3.4235408188827787e-12,-2.558721666255415,-1.4341688326978081,True
C(SampleType)[T.Groin],1.3155763257015283,0.3586853462525167,3.6677727134560842,0.0002446725279039592,0.6125659652643167,2.0185866861387396,True
C(PostNatalAbxCohort)[T.No.Infant.Abx],1.5812318526251659,0.5373642906131804,2.9425696501359253,0.0032550055567537877,0.5280171964454172,2.6344465088049143,True
Group Var,0.09160109025053931,0.046569632185104196,1.9669704473173597,0.04918661789786534,0.0003262883944577383,0.18287589210662086,True
C(Location)[T.Hangzhou],0.6939409860261385,0.5172573903862754,1.3415777114521652,0.1797329570161461,-0.3198648698681361,1.7077468419204132,False
Intercept,-1.2839202571193093,1.03895393794371,-1.2357816937105361,0.21653972140326316,-3.3202325570850437,0.7523920428464248,False
C(PICC)[T.PICC_Neck],1.4485475798877763,1.221140832429437,1.1862248328932854,0.23553352189025267,-0.9448444717251816,3.8419396315007344,False
C(AnyMilk)[T.Mother],-0.6788032643749208,0.6554465085384619,-1.0356348771901167,0.3003725143880078,-1.963454814902831,0.6058482861529896,False
C(PICC)[T.PICC_LE],-0.49490084492686437,0.5967914897375861,-0.8292692731668747,0.4069520538187761,-1.6645906710925384,0.6747889812388097,False
C(PICC)[T.axillary],0.7193871153769812,1.097216406227059,0.655647428615017,0.5120510015291646,-1.4311175240745242,2.8698917548284864,False
C(MaternalAntibiotics)[T.None.Mat.Abx],0.26755902724910385,0.4531202818155742,0.5904812430311911,0.5548680572864679,-0.6205404057740611,1.1556584602722688,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.31711715291082376,0.5713178305395611,0.5550625868115013,0.5788518520871295,-0.8026452186722738,1.4368795244939214,False
C(PICC)[T.peripheral_UE],-0.3361150399435688,1.052375631263991,-0.3193869469781114,0.749433107730938,-2.3987333754285953,1.7265032955414576,False
C(GestationCohort)[T.28-32 Weeks],0.1741100067937127,0.6731758409548555,0.25863971372880695,0.795913238430634,-1.1452903967402677,1.493510410327693,False
C(GestationCohort)[T.33-36 Weeks],0.1850099984288815,0.8518439052582363,0.2171876763886639,0.8280620882942422,-1.4845733763272115,1.8545933731849746,False
C(AnyMilk)[T.No.Milk],0.16478151907407268,0.864986748195938,0.19050178446981958,0.8489159449871316,-1.5305613544943824,1.8601243926425277,False
C(UVC)[T.UVC],0.1059155160178997,0.5597408957795629,0.189222400608033,0.8499185116539791,-0.9911564803842314,1.2029875124200309,False
C(PICC)[T.PICC_UE],-0.04518554099138952,0.5182346629100492,-0.08719127496732586,0.9305194745124591,-1.0609068158353412,0.9705357338525622,False
C(Delivery)[T.Vaginal],0.041399660225346795,0.5202146466605446,0.07958188123134737,0.936569806186847,-0.9782023114595506,1.0610016319102442,False
