Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(SampleType)[T.Stool],-10.721767163483237,0.47803270382202145,-22.428940693302664,2.0547074467777935e-111,-11.658694046406701,-9.784840280559774,True
C(SampleType)[T.Groin],-4.957245774259765,0.5122965255315044,-9.676516484504075,3.794241350276111e-22,-5.961328513706518,-3.953163034813012,True
C(SampleCollectionWeek)[T.Week.3],-1.7303312830639228,0.40872533500414976,-4.233481839451804,2.3010077161656525e-05,-2.5314182192411248,-0.929244346886721,True
Intercept,4.827458965077998,1.3941925297120152,3.4625482938681067,0.0005350858777110579,2.094891819327659,7.560026110828337,True
C(Delivery)[T.Vaginal],2.003726317854682,0.7020145435865208,2.8542518615324526,0.004313831660833112,0.6278030958017773,3.3796495399075868,True
C(PICC)[T.PICC_Neck],4.267439273713987,1.640888269768993,2.6006885126400254,0.009303688688319949,1.0513573623125163,7.483521185115458,True
C(UVC)[T.UVC],1.3532062803549183,0.7491098632368147,1.806418987073371,0.07085291797463439,-0.115022072052964,2.8214346327628004,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],1.2076876963623713,0.7185994005142048,1.6806132811942118,0.09283805441105253,-0.20074124795754367,2.616116640682286,False
C(AnyMilk)[T.Mother],-1.221067959818253,0.8722001175322146,-1.399986006964913,0.1615175087919467,-2.9305487774929957,0.4884128578564897,False
C(PICC)[T.axillary],1.9100685358215375,1.412376022305544,1.352379611134694,0.17625390841943522,-0.8581376005252686,4.678274672168343,False
C(GestationCohort)[T.28-32 Weeks],1.0346071250855349,0.900578503259798,1.1488250289570507,0.2506281365677854,-0.730494306554657,2.7997085567257267,False
C(PICC)[T.PICC_UE],0.7567171152342724,0.674195914330449,1.1223994378336986,0.26169264339859266,-0.5646825953774592,2.078116825846004,False
Group Var,0.0361410884177873,0.032899075267964595,1.0985442029423729,0.2719669269306302,-0.028339914232095732,0.10062209106767034,False
C(PICC)[T.peripheral_UE],1.1959493120751175,1.4260078324808791,0.8386695253941766,0.4016547839518956,-1.5989746812594325,3.9908733054096674,False
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.43238080214904806,0.5984872030299437,-0.7224562195482984,0.470014032956495,-1.605394165295849,0.7406325609977529,False
C(PICC)[T.PICC_LE],0.5570554258978491,0.7924172272767843,0.7029824778194461,0.48206666927734054,-0.9960538002937387,2.110164652089437,False
C(Location)[T.Hangzhou],-0.4830940023795622,0.7115444094897678,-0.6789372468346393,0.49717762421894096,-1.8776954183803274,0.9115074136212029,False
C(AnyMilk)[T.No.Milk],-0.40085888299163275,1.193429888352894,-0.3358880876905773,0.7369552603672649,-2.739938482236963,1.9382207162536975,False
C(GestationCohort)[T.33-36 Weeks],0.33425946662620476,1.1300180627829763,0.29580010942745466,0.7673827394235098,-1.8805352383081506,2.54905417156056,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-0.0650072312620704,0.7630365183004092,-0.08519543914735273,0.9321060164333518,-1.5605313260197102,1.4305168634955694,False
