Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(SampleType)[T.Stool],10.72176716349051,0.47803270382170865,22.428940693332557,2.0547074453975082e-111,9.784840280567659,11.65869404641336,True
C(SampleType)[T.Groin],4.95724577423828,0.5122965255311636,9.676516484468575,3.794241351593142e-22,3.953163034792195,5.961328513684365,True
C(SampleCollectionWeek)[T.Week.3],1.7303312830682407,0.40872533500386465,4.2334818394653215,2.3010077160272832e-05,0.9292443468915977,2.5314182192448835,True
Intercept,-4.827458965028847,1.3941925297095132,-3.4625482938390664,0.0005350858777688022,-7.560026110774283,-2.094891819283412,True
C(Delivery)[T.Vaginal],-2.003726317863955,0.7020145435852746,-2.8542518615507286,0.004313831660584926,-3.3796495399144173,-0.6278030958134928,True
C(PICC)[T.PICC_Neck],-4.267439273735668,1.6408882697662952,-2.600688512657514,0.009303688687845695,-7.483521185131851,-1.0513573623394854,True
C(UVC)[T.UVC],-1.3532062803640064,0.749109863235502,-1.8064189870886682,0.07085291797224672,-2.821434632769316,0.1150220720413031,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],-1.207687696369547,0.7185994005130402,-1.6806132812069214,0.09283805440858225,-2.6161166406871796,0.20074124794808523,False
C(AnyMilk)[T.Mother],1.2210679598169083,0.8722001175306562,1.3999860069658727,0.1615175087916595,-0.48841285785477995,2.9305487774885965,False
C(PICC)[T.axillary],-1.9100685358399159,1.4123760223029977,-1.3523796111501445,0.17625390841449506,-4.678274672181732,0.8581376005018999,False
C(GestationCohort)[T.28-32 Weeks],-1.0346071251104028,0.9005785032582477,-1.1488250289866415,0.25062813655558147,-2.799708556747556,0.7304943065267504,False
C(PICC)[T.PICC_UE],-0.7567171152617147,0.6741959143290367,-1.1223994378767537,0.2616926433802945,-2.078116825870678,0.564682595347249,False
Group Var,0.036141088417099815,0.03289907526782838,1.0985442029260246,0.2719669269377647,-0.028339914232516236,0.10062209106671587,False
C(PICC)[T.peripheral_UE],-1.1959493121091942,1.4260078324780723,-0.8386695254197241,0.4016547839375555,-3.990873305438243,1.5989746812198544,False
C(MaternalAntibiotics)[T.None.Mat.Abx],0.43238080215097185,0.5984872030290969,0.7224562195525351,0.4700140329538911,-0.7406325609941691,1.6053941652961128,False
C(PICC)[T.PICC_LE],-0.5570554259198905,0.7924172272750701,-0.7029824778487824,0.48206666925905794,-2.1101646521081188,0.9960538002683375,False
C(Location)[T.Hangzhou],0.4830940023874152,0.7115444094887048,0.6789372468466902,0.49717762421130507,-0.9115074136112665,1.877695418386097,False
C(AnyMilk)[T.No.Milk],0.40085888298080974,1.1934298883508738,0.33588808768207706,0.7369552603736751,-1.938220716260561,2.7399384822221804,False
C(GestationCohort)[T.33-36 Weeks],-0.33425946664549877,1.1300180627811474,-0.2958001094450075,0.767382739410104,-2.5490541715762696,1.8805352382852718,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.06500723126266296,0.7630365182992397,0.08519543914825987,0.9321060164326306,-1.4305168634926846,1.5605313260180107,False
