Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(SampleType)[T.Stool],-3.3103917163985574,0.33422325766986677,-9.904731763665707,3.9703402871739675e-23,-3.9654572642271466,-2.6553261685699683,True
C(SampleCollectionWeek)[T.Week.3],1.9964452185595567,0.2868809951101004,6.959140732878986,3.4235438844018738e-12,1.4341688002947486,2.558721636824365,True
C(SampleType)[T.Groin],-1.3155761316425019,0.35868534707861477,-3.6677721639801493,0.00024467305356236016,-2.018586493698836,-0.6125657695861678,True
C(PostNatalAbxCohort)[T.No.Infant.Abx],-1.5812316032489035,0.5373643007333867,-2.9425691306453787,0.0032550110181252994,-2.634446279263892,-0.528016927233915,True
Group Var,0.09160110886545755,0.04656963661007743,1.9669706601411518,0.04918659336075632,0.0003262983365878158,0.1828759193943273,True
C(Location)[T.Hangzhou],-0.6939409468086065,0.5172573987483935,-1.3415776139456561,0.17973298864951293,-1.7077468190923315,0.31986492547511836,False
Intercept,1.2839197542538419,1.038953958587259,1.2357811851447977,0.21653991049367138,-0.7523925861725045,3.320232094680188,False
C(PICC)[T.PICC_Neck],-1.4485469123975165,1.2211408555164573,-1.1862242638543792,0.2355337465513685,-3.841939009260203,0.9448451844651697,False
C(AnyMilk)[T.Mother],0.6788031148990905,0.6554465238396234,1.035634624961688,0.30037263210391074,-0.6058484656185454,1.9634546954167265,False
C(PICC)[T.PICC_LE],0.4949009951695155,0.5967915051515175,0.8292695034991604,0.40695192351248355,-0.6747888612069088,1.66459085154594,False
C(PICC)[T.axillary],-0.719387098777091,1.0972164226071441,-0.6556474036979174,0.5120510175650039,-2.8698917703329734,1.4311175727787913,False
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.2675589654580298,0.4531202919676428,-0.590481093433653,0.5548681575521267,-1.1556584183788836,0.620540487462824,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-0.3171168743334165,0.5713178387783614,-0.5550620912021613,0.5788521910699886,-1.4368792620642659,0.8026455133974328,False
C(PICC)[T.peripheral_UE],0.33611517094318616,1.0523756514692986,0.31938706532587596,0.7494330179985239,-1.7265032041435155,2.398733546029888,False
C(GestationCohort)[T.28-32 Weeks],-0.1741098076985483,0.6731758543810117,-0.2586394128153082,0.7959134706271997,-1.4935102375473113,1.1452906221502146,False
C(GestationCohort)[T.33-36 Weeks],-0.18500963051500552,0.8518439174622787,-0.21718724137417827,0.8280624272951489,-1.8545930291905823,1.4845737681605713,False
C(AnyMilk)[T.No.Milk],-0.1647814221079056,0.8649867651442212,-0.19050166863585621,0.8489160357473449,-1.8601243288943854,1.5305614846785742,False
C(UVC)[T.UVC],-0.10591538878212825,0.5597409078276873,-0.18922216922321788,0.8499186929966229,-1.2029874087981494,0.9911566312338929,False
C(PICC)[T.PICC_UE],0.04518570195845328,0.5182346770816304,0.0871915831895128,0.9305192295197665,-0.9705356006612872,1.0609070045781936,False
C(Delivery)[T.Vaginal],-0.041399659145671674,0.520214657052377,-0.07958187756617441,0.9365698091019862,-1.0610016511981861,0.9782023329068429,False
