PC,AIC,BIC,Significant Variables,Top Predictors
PC1,,,10,"C(SampleType)[T.Stool], C(SampleCollectionWeek)[T.Week.3], C(Location)[T.Hangzhou]"
PC2,,,4,"C(SampleType)[T.Stool], C(SampleCollectionWeek)[T.Week.3], C(SampleType)[T.Groin]"
PC3,,,4,"C(Location)[T.Hangzhou], C(UVC)[T.UVC], C(SampleType)[T.Groin]"
PC4,,,4,"C(SampleType)[T.Stool], C(SampleType)[T.Groin], C(MaternalAntibiotics)[T.None.Mat.Abx]"
PC5,,,2,"C(SampleCollectionWeek)[T.Week.3], C(PICC)[T.PICC_UE]"
