Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(SampleType)[T.Stool],-6.84848704291883,0.8893632696066928,-7.700438366369085,1.3560023222550073e-14,-8.591607020520733,-5.105367065316926,True
C(SampleType)[T.Groin],-3.651413196406185,0.9525195552896829,-3.8334259660377334,0.0001263708459473016,-5.518317219344072,-1.7845091734682976,True
C(MaternalAntibiotics)[T.None.Mat.Abx],-2.997171126062082,1.1049004128616369,-2.7126165319275777,0.0066754305517643,-5.162736141774326,-0.8316061103498371,True
C(PICC)[T.PICC_LE],2.891076465197819,1.436052388417797,2.0132110001802426,0.044092436490923585,0.0764655039862121,5.705687426409426,True
C(PostNatalAbxCohort)[T.No.Infant.Abx],-2.5776769085548654,1.3184969113161114,-1.9550117155616635,0.05058168748113387,-5.161883368461745,0.006529551352014273,False
C(PICC)[T.peripheral_UE],5.026997819521887,2.6083635506847647,1.9272611819016436,0.053947088649993966,-0.08530079840726756,10.139296437451042,False
C(SampleCollectionWeek)[T.Week.3],0.9109640358674115,0.7597280027196422,1.1990660244276647,0.23050227379889343,-0.5780754875096356,2.4000035592444586,False
C(PICC)[T.PICC_UE],1.4704042195875826,1.2434405699336575,1.182528747365895,0.2369959658483558,-0.9666945143983443,3.9075029535735095,False
Group Var,0.02804438953145565,0.031025305996354707,0.903919836753607,0.3660379098025506,-0.03276409283073416,0.08885287189364545,False
Intercept,2.0444758174080864,2.558895261690787,0.7989681516144593,0.42430887940084105,-2.9708667357160525,7.059818370532225,False
C(Location)[T.Hangzhou],-0.8826260152944342,1.2962338769049127,-0.6809157136071214,0.49592482460536025,-3.423197729568789,1.6579456989799204,False
C(AnyMilk)[T.Mother],0.963635842148691,1.5878682292783324,0.606873935998236,0.5439345764212551,-2.1485286994322292,4.075800383729612,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.8150825228474946,1.4056260225267347,0.5798715375106055,0.5620012509742078,-1.9398938570371924,3.5700589027321814,False
C(Delivery)[T.Vaginal],0.6588132555516459,1.3020149512373016,0.5059951538387307,0.6128600517178424,-1.8930891562061398,3.2107156673094317,False
C(AnyMilk)[T.No.Milk],1.0523813715597623,2.131303044928504,0.49377369119981956,0.6214660152754514,-3.1248958366406585,5.229658579760183,False
C(GestationCohort)[T.28-32 Weeks],0.7041253632726417,1.6537671133343024,0.4257705680535598,0.6702750351859075,-2.5371986176793606,3.945449344224644,False
C(GestationCohort)[T.33-36 Weeks],0.8639573458089612,2.076671664275222,0.41602982342925665,0.6773881801221664,-3.206244323885328,4.93415901550325,False
C(UVC)[T.UVC],-0.5517197439759562,1.3708619749951279,-0.4024619210682513,0.6873441071245847,-3.238559842741855,2.1351203547899424,False
C(PICC)[T.PICC_Neck],0.07551180290123113,3.0217061232302482,0.024989790476549686,0.9800631070864633,-5.846923370494205,5.997946976296668,False
C(PICC)[T.axillary],-0.0025797567074976207,2.594577460395488,-0.0009942877970983343,0.9992066732484154,-5.087858134182053,5.082698620767058,False
