category	SampleType	SampleCollectionWeek	Location	n_subjects_screened	n_subjects_positive	pct_positive
Fluoroquinolone	Stool	Week.3	UCMC	53	46	86.79245283018868
Macrolide (MLS)	Stool	Week.3	UCMC	53	51	96.22641509433963
Tetracycline	Stool	Week.3	UCMC	53	52	98.11320754716981
Sulfonamide	Stool	Week.3	UCMC	53	50	94.33962264150944
Trimethoprim	Stool	Week.3	UCMC	53	21	39.62264150943396
Colistin (mcr)	Stool	Week.3	UCMC	53	4	7.547169811320755
Vancomycin (VRE)	Stool	Week.3	UCMC	53	14	26.41509433962264
ESBL	Stool	Week.3	ZCH	49	20	40.816326530612244
Carbapenemase	Stool	Week.3	ZCH	49	18	36.734693877551024
Methicillin (mecA)	Stool	Week.3	ZCH	49	15	30.612244897959183
Aminoglycoside	Stool	Week.3	ZCH	49	46	93.87755102040816
Fluoroquinolone	Stool	Week.3	ZCH	49	29	59.183673469387756
Macrolide (MLS)	Stool	Week.3	ZCH	49	44	89.79591836734694
Tetracycline	Stool	Week.3	ZCH	49	45	91.83673469387755
Sulfonamide	Stool	Week.3	ZCH	49	32	65.3061224489796
Trimethoprim	Stool	Week.3	ZCH	49	23	46.93877551020408
Colistin (mcr)	Stool	Week.3	ZCH	49	4	8.16326530612245
Vancomycin (VRE)	Stool	Week.3	ZCH	49	0	0.0
