gene_name	n_samples	mean_rpm	median_rpm	max_rpm	prevalence
MerP_Gneg	304	13.064487968421053	0.6695765	282.404	0.4735202492211838
SMR_efflux_smr	1	0.0970589	0.0970589	0.0970589	0.001557632398753894
aac(3)-Ih	12	0.11988139999999999	0.0937488	0.319871	0.018691588785046728
aac(6')-Iaa	45	0.12204881555555555	0.0883105	0.637872	0.07009345794392523
aac(6')-Iy	45	0.12204881555555555	0.0883105	0.637872	0.07009345794392523
aadA1	46	0.19057169565217388	0.056908150000000005	1.74884	0.07165109034267912
aafA	2	0.0520355	0.0520355	0.0592147	0.003115264797507788
aafC	290	3.566783398275862	0.5733355	95.815	0.4517133956386293
abaF	257	2.6668904857587554	0.0568313	280.747	0.40031152647975077
acrF	627	62.39277326925039	1.68191	505.526	0.9766355140186916
adeC	164	1.526001630304878	0.04180375	87.2987	0.2554517133956386
adeD	281	0.3731873400711744	0.0621472	13.2029	0.43769470404984423
adeE	588	16.949619289438775	0.6827585	140.085	0.9158878504672897
agg3A	76	0.07251567763157894	0.047832849999999996	0.33232	0.11838006230529595
agg3B	1	0.0347643	0.0347643	0.0347643	0.001557632398753894
agg3C	160	1.6062598873125	0.07978415	27.9122	0.24922118380062305
agg4A	4	0.02926805	0.031008050000000002	0.0332045	0.006230529595015576
aggA	2	0.0500279	0.0500279	0.0688577	0.003115264797507788
aggB	1	0.056455	0.056455	0.056455	0.001557632398753894
aggC	295	2.2888568278305086	0.253827	39.6465	0.45950155763239875
aggD	311	6.487004965594855	2.07419	48.3164	0.48442367601246106
ail	301	6.292918126578073	3.7971	46.1282	0.4688473520249221
air	210	7.594677233809524	0.011034	311.306	0.32710280373831774
alo	68	4.432020735882354	0.21154	59.743	0.1059190031152648
alpha-1	133	0.06315058315789474	0.014742	1.50515	0.2071651090342679
alpha-2	63	0.04016473015873016	0.011797	0.810917	0.09813084112149532
alpha-5	274	0.7117068852919708	0.3458195	3.21224	0.42679127725856697
amvA	387	4.13790783617571	0.454112	259.82	0.602803738317757
ariR	337	21.93586829050445	6.69767	172.7	0.5249221183800623
arsA	616	21.938030122191556	2.1861499999999996	927.049	0.9595015576323987
arsB_R773	613	43.17905306606851	8.47391	651.96	0.9548286604361371
arsB_pI258	624	34.662755345224355	14.5239	570.555	0.9719626168224299
arsB_pYV	611	40.523928855728315	7.79336	595.309	0.9517133956386293
arsC_gluta	471	45.069418922717624	2.77137	621.501	0.7336448598130841
arsC_thio	513	15.987220786549706	3.36981	408.304	0.7990654205607477
arsD	424	17.413433915094338	1.544315	530.139	0.660436137071651
arsH	324	14.711194739506173	0.3172315	312.155	0.5046728971962616
arsN1b	15	0.25551028666666664	0.0639673	2.11759	0.02336448598130841
arsN2	239	0.11926921464435146	0.0821541	2.42191	0.37227414330218067
arsP	386	1.7972226186528497	0.4274075	35.2737	0.6012461059190031
arsR_R46	338	46.16901386213018	10.16489	982.28	0.5264797507788161
arsR_pI258	464	10.624170768103449	2.37986	323.119	0.7227414330218068
arsR_pKW301	356	44.5618772266854	5.40643	627.611	0.5545171339563862
arsR_pSX267	464	10.615192295905173	2.406085	253.163	0.7227414330218068
arsR_pYV	244	18.01105180122951	1.804545	248.624	0.38006230529595014
astA	1	0.70245	0.70245	0.70245	0.001557632398753894
