Variable,Coefficient,P-value,Significant
C(SampleCollectionWeek)[T.Week.3],-2.9793723404689754,3.79250506210119e-13,True
C(Location)[T.Hangzhou],3.520046026880525,8.601199573937104e-07,True
C(GestationCohort)[T.33-36 Weeks],-2.667061317345487,0.01913082500717108,True
C(PICC)[T.PICC_UE],1.419612712181603,0.03808075379366462,True
C(SampleType)[T.Groin],1.0395117365081292,0.043490169296446356,True
C(Delivery)[T.Vaginal],1.2564409008164503,0.07304839122962617,False
Intercept,-2.4109166720884434,0.0876327599968267,False
C(SampleType)[T.Stool],0.790321251843032,0.09991865282860286,False
C(PICC)[T.axillary],2.3109921253767367,0.10580196675828266,False
C(PICC)[T.PICC_LE],1.1398643285003716,0.15354179388623598,False
C(AnyMilk)[T.Mother],1.2000873258964406,0.16889111049782624,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.9857632177513881,0.1989067043016729,False
C(AnyMilk)[T.No.Milk],1.347736379612696,0.24772849873331515,False
Group Var,0.03746427397788246,0.26221132435021877,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],0.7887438022529217,0.27449087924675675,False
C(PICC)[T.PICC_Neck],1.7857032993285649,0.2795653291080292,False
C(GestationCohort)[T.28-32 Weeks],-0.5999666077780049,0.5102609336191428,False
C(MaternalAntibiotics)[T.None.Mat.Abx],0.20803271020633649,0.7288701914568416,False
C(UVC)[T.UVC],0.12862185946924934,0.8645463830647847,False
C(PICC)[T.peripheral_UE],0.05992094543454124,0.9673117418945939,False
