Feature,Feature_Original,SHAP Importance,PC
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,0.40330810533265776,PC4
BSI_30D: No.BSI,BSI_30D_No.BSI,0.3978777985510007,PC4
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,0.28437610208794395,PC4
PICC Peripheral UE,PICC_peripheral_UE,0.23566172243392167,PC4
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,0.22762456058247557,PC4
BSI_30D: No.BSI ,BSI_30D_No.BSI ,0.20741026394185624,PC4
BSI_30D: PICC,BSI_30D_PICC,0.12182591701527799,PC4
NEC_30D: No.NEC,NEC_30D_No.NEC,0.08793128520596856,PC4
BSI_30D: BSI ,BSI_30D_BSI ,0.0755706760043599,PC4
PICC Axillary,PICC_axillary,0.07525196180426554,PC4
BSI_30D: BSI and No.BSI,BSI_30D_BSI and No.BSI,0.047336105515151806,PC4
BSI_30D: No.BSI  ,BSI_30D_No.BSI  ,0.0,PC4
Groin Sample,SampleType_Groin,3.512070429958771,PC5
PICC Upper Extremity,PICC_PICC_UE,3.3019131563134403,PC5
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,2.109705474540615,PC5
Week 3 Sample,SampleCollectionWeek_Week.3,1.8618124412089594,PC5
Stool Sample,SampleType_Stool,1.6551285704941134,PC5
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,1.0834476930932224,PC5
PICC Lower Extremity,PICC_PICC_LE,1.0644285842911383,PC5
ZCH Location,Location_ZCH,1.0417812963539308,PC5
No Maternal Antibiotics,MaternalAntibiotics_None.Mat.Abx,0.9556403758036542,PC5
No Infant Antibiotics,PostNatalAbxCohort_No.Infant.Abx,0.8382590340138246,PC5
Mother's Milk,AnyMilk_Mother,0.6233983353461375,PC5
BSI_30D: No.BSI,BSI_30D_No.BSI,0.6108190403143626,PC5
UVC Present,UVC_UVC,0.5400334700191722,PC5
Vaginal Delivery,Delivery_Vaginal,0.4976370167534075,PC5
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,0.4421278418449991,PC5
NEC_30D: No.NEC,NEC_30D_No.NEC,0.2775693454401934,PC5
No Milk,AnyMilk_No.Milk,0.18944660911539904,PC5
PICC Axillary,PICC_axillary,0.0842900519795968,PC5
PICC Peripheral UE,PICC_peripheral_UE,0.07811894309521303,PC5
PICC Neck,PICC_PICC_Neck,0.05536158166606909,PC5
BSI_30D: PICC,BSI_30D_PICC,0.025854872796453234,PC5
BSI_30D: BSI ,BSI_30D_BSI ,0.01032743208010249,PC5
BSI_30D: No.BSI ,BSI_30D_No.BSI ,0.007766136610103275,PC5
BSI_30D: BSI and No.BSI,BSI_30D_BSI and No.BSI,0.0033559549397901606,PC5
BSI_30D: No.BSI  ,BSI_30D_No.BSI  ,0.0,PC5
