Feature,Feature_Original,SHAP Importance,PC
Stool Sample,SampleType_Stool,24.548080534882995,PC1
Groin Sample,SampleType_Groin,11.384026702436948,PC1
Week 3 Sample,SampleCollectionWeek_Week.3,6.0804694072520356,PC1
UVC Present,UVC_UVC,2.3416993875854426,PC1
ZCH Location,Location_ZCH,2.17577224749996,PC1
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,1.9202783102931729,PC1
Vaginal Delivery,Delivery_Vaginal,1.7857133391008442,PC1
No Infant Antibiotics,PostNatalAbxCohort_No.Infant.Abx,1.3678367820995845,PC1
PICC Upper Extremity,PICC_PICC_UE,1.3049980063410447,PC1
No Maternal Antibiotics,MaternalAntibiotics_None.Mat.Abx,1.2695914901705587,PC1
PICC Lower Extremity,PICC_PICC_LE,0.8749546002380444,PC1
Mother's Milk,AnyMilk_Mother,0.8064212006677278,PC1
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,0.6981963830012895,PC1
BSI_30D: No.BSI,BSI_30D_No.BSI,0.6281419693520941,PC1
No Milk,AnyMilk_No.Milk,0.6180807973742078,PC1
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,0.36349523412964335,PC1
PICC Neck,PICC_PICC_Neck,0.2897417453437364,PC1
NEC_30D: No.NEC,NEC_30D_No.NEC,0.26154082412402896,PC1
PICC Peripheral UE,PICC_peripheral_UE,0.2192409133026334,PC1
BSI_30D: PICC,BSI_30D_PICC,0.15522094032182088,PC1
PICC Axillary,PICC_axillary,0.1336536972389395,PC1
BSI_30D: No.BSI ,BSI_30D_No.BSI ,0.05645317794124431,PC1
BSI_30D: BSI and No.BSI,BSI_30D_BSI and No.BSI,0.019721285957663287,PC1
BSI_30D: BSI ,BSI_30D_BSI ,0.008522314795569655,PC1
BSI_30D: No.BSI  ,BSI_30D_No.BSI  ,0.0,PC1
