"Organism","Location","SampleType","SampleCollectionWeek","n","median_abundance","y_pos"
"Escherichia.coli","Cincinnati","Axilla","Week.1",60,32.5,16504.5
"Escherichia.coli","Cincinnati","Axilla","Week.3",58,123,35715
"Escherichia.coli","Cincinnati","Groin","Week.1",52,425,100959
"Escherichia.coli","Cincinnati","Groin","Week.3",57,1033,99220.5
"Escherichia.coli","Cincinnati","Stool","Week.1",62,222,105408
"Escherichia.coli","Cincinnati","Stool","Week.3",63,1368,93775.5
"Escherichia.coli","Hangzhou","Axilla","Week.1",43,9,44016
"Escherichia.coli","Hangzhou","Axilla","Week.3",44,48,6364.5
"Escherichia.coli","Hangzhou","Groin","Week.1",21,132,52840.5
"Escherichia.coli","Hangzhou","Groin","Week.3",36,267.5,91719
"Escherichia.coli","Hangzhou","Stool","Week.1",39,69,69727.5
"Escherichia.coli","Hangzhou","Stool","Week.3",43,483,87222
"Streptococcus.pyogenes","Cincinnati","Axilla","Week.1",60,1,43.5
"Streptococcus.pyogenes","Cincinnati","Axilla","Week.3",58,1,42
"Streptococcus.pyogenes","Cincinnati","Groin","Week.1",52,1,102
"Streptococcus.pyogenes","Cincinnati","Groin","Week.3",57,1,40.5
"Streptococcus.pyogenes","Cincinnati","Stool","Week.1",62,1,145.5
"Streptococcus.pyogenes","Cincinnati","Stool","Week.3",63,1,39
"Streptococcus.pyogenes","Hangzhou","Axilla","Week.1",43,1,75
"Streptococcus.pyogenes","Hangzhou","Axilla","Week.3",44,1,66
"Streptococcus.pyogenes","Hangzhou","Groin","Week.1",21,1,39
"Streptococcus.pyogenes","Hangzhou","Groin","Week.3",36,1,37.5
"Streptococcus.pyogenes","Hangzhou","Stool","Week.1",39,1,10.5
"Streptococcus.pyogenes","Hangzhou","Stool","Week.3",43,1,78
