"Species","Location","SampleType","SampleCollectionWeek","n","median_abundance","mean_abundance","n_nonzero","prevalence","max_abundance","y_pos"
"Staphylococcus.haemolyticus","Hangzhou","Axilla","Week.1",43,18,128.255813953488,32,74.4186046511628,3239,4210.7
"Staphylococcus.haemolyticus","Hangzhou","Axilla","Week.3",44,7.5,51.1818181818182,39,88.6363636363636,841,1093.3
"Staphylococcus.haemolyticus","Hangzhou","Groin","Week.1",21,1,64.4285714285714,9,42.8571428571429,651,846.3
"Staphylococcus.haemolyticus","Hangzhou","Groin","Week.3",36,1,31.75,19,52.7777777777778,420,1539.2
"Staphylococcus.haemolyticus","Hangzhou","Stool","Week.1",39,3,1103.33333333333,25,64.1025641025641,16128,20966.4
"Staphylococcus.haemolyticus","Hangzhou","Stool","Week.3",43,1,735.209302325581,19,44.1860465116279,15076,19598.8
"Staphylococcus.warneri","Cincinnati","Axilla","Week.1",60,15,488.816666666667,51,85,14300,18590
"Staphylococcus.warneri","Cincinnati","Axilla","Week.3",58,4.5,19.4827586206897,46,79.3103448275862,359,466.7
"Staphylococcus.warneri","Cincinnati","Groin","Week.1",52,18.5,581.442307692308,40,76.9230769230769,13978,18171.4
"Staphylococcus.warneri","Cincinnati","Groin","Week.3",57,1,7.7719298245614,33,57.8947368421053,44,68.9
"Staphylococcus.warneri","Cincinnati","Stool","Week.1",62,1.5,219.5,33,53.2258064516129,12186,15841.8
"Staphylococcus.warneri","Cincinnati","Stool","Week.3",63,1,1.11111111111111,6,9.52380952380952,5,501.8
"Staphylococcus.warneri","Hangzhou","Axilla","Week.1",43,4,24.3255813953488,31,72.0930232558139,184,18590
"Staphylococcus.warneri","Hangzhou","Axilla","Week.3",44,5,8.72727272727273,32,72.7272727272727,37,466.7
"Staphylococcus.warneri","Hangzhou","Groin","Week.1",21,1,23.952380952381,7,33.3333333333333,149,18171.4
"Staphylococcus.warneri","Hangzhou","Groin","Week.3",36,1,4.13888888888889,11,30.5555555555556,53,68.9
"Staphylococcus.warneri","Hangzhou","Stool","Week.1",39,17,115.435897435897,22,56.4102564102564,469,15841.8
"Staphylococcus.warneri","Hangzhou","Stool","Week.3",43,1,18.7441860465116,15,34.8837209302326,386,501.8
