antibiotic_group	n_exposed	mean_mutations_exposed	n_unexposed	mean_mutations_unexposed	statistic	p_value	fdr
Beta-lactams	376	9.053191489361701	550	9.030909090909091	107364.5	0.3201705683235718	0.4268940910980958
Aminoglycosides	71	10.014084507042254	855	8.95906432748538	33442.0	0.15276939597209063	0.30553879194418126
Glycopeptides	11	12.090909090909092	915	9.00327868852459	6385.5	0.12417940379751614	0.30553879194418126
Antifungals	96	9.041666666666666	830	9.039759036144579	41460.0	0.5129143626650421	0.5129143626650421
