metric	no_abx_mean	any_abx_mean	statistic	p_value
N mutations	9.284810126582279	8.494791666666666	31013.0	0.6724649108840859
Mean frequency	0.288095726843973	0.27468460292009855	31698.0	0.39588079428497125
