aro_id	n	converged	BodySite[T.Groin]_coef	BodySite[T.Groin]_pvalue	BodySite[T.Stool]_coef	BodySite[T.Stool]_pvalue	Week[T.Week.3]_coef	Week[T.Week.3]_pvalue	PostNatalAbxCohort[T.Low.Infant.Abx]_coef	PostNatalAbxCohort[T.Low.Infant.Abx]_pvalue	PostNatalAbxCohort[T.High.Infant.Abx]_coef	PostNatalAbxCohort[T.High.Infant.Abx]_pvalue	MaternalAntibiotics[T.Mat.Abx]_coef	MaternalAntibiotics[T.Mat.Abx]_pvalue	AnyMilk[T.Donor]_coef	AnyMilk[T.Donor]_pvalue	GestationTime_coef	GestationTime_pvalue	gene_family	subclass	megares_class
ARO:3000026	552	True	-0.006213161690968196	0.8428691741127189	0.08945693849060439	0.0042254659440362895	-0.07086575421091165	0.0066127015646432205	-0.06460162596765705	0.2310426838123173	-0.15552050361516706	0.0018565968545196311	-0.021973193272785754	0.6675794388596081	-0.044337571527300286	0.5660973335910222	-0.016062532956744924	0.13967690867140153	mepA	TIGECYCLINE	Drug and biocide resistance
ARO:3000124	552	True	-0.003400642249303605	0.8619833084994906	0.026678173584548024	0.17128000174083646	-0.07572591046303455	3.1603087892630233e-06	-0.011158389796305852	0.7210115937446557	-0.10248660899608339	0.0004168937122320468	0.01387869588487286	0.638234677030153	0.01983653746475392	0.6552616593699069	-0.01893247776814326	0.0025422971051440573	mecI_of_mecA	METHICILLIN	betalactams
ARO:3000149	552	True	0.2963826878930236	8.204186966268931e-10	0.5612565350412951	1.955547076756475e-31	0.3592298129917662	4.522394832792822e-19	-0.038878088012215185	0.6610306606956177	0.023793025026816784	0.7713057257278124	0.06954791573554406	0.40996164836534066	0.05639420234168835	0.6591727576152	0.031056440696359947	0.08358181290654976	fosA5_fam;fosA_PA1129;fosA_gen;fos_A_A2	FOSFOMYCIN	Fosfomycin
ARO:3000172	552	True	-0.1831896258561125	1.268036871881971e-05	-0.14002937824834288	0.0008146758606312142	-0.037850954784120365	0.2745410142657698	-0.09477839573598915	0.08346863319315653	-0.20239729999367945	8.420970300111107e-05	0.054375570647523686	0.2924207665821955	0.0399654483186932	0.6030563139300905	-0.01517633560959714	0.16601367388950028	fosB-Saur;fosB-Sepi;fosB_gen;fosBx1-fam	FOSFOMYCIN	Fosfomycin
ARO:3000178	552	True	0.0046877287553929795	0.8409064543682979	0.03711954461113851	0.11059853690843638	0.016679902136623334	0.38700260015176724	-0.03932326707355481	0.19680240791052905	-0.04874913707532366	0.0887151112500913	-0.03154306002703582	0.2722030615413593	0.04886470148867283	0.2532163570139254	-0.0008032340277159798	0.895187648522457	tet(K)	TETRACYCLINE	Tetracyclines
ARO:3000179	552	True	0.05369678648882319	0.17333067501104327	0.1402640007660351	0.0003575037589073834	0.06908918168315217	0.034032410669705936	-0.025943404261548737	0.6287274630449662	0.017777167424949794	0.7248005153903088	-0.01741392722423041	0.7304053808379483	-0.054699382168778635	0.46827790622980037	0.010259090149904284	0.339438908088027	tet(L)	TETRACYCLINE	Tetracyclines
ARO:3000186	552	True	0.2634068173112895	0.0028080382997132483	0.9296321883007334	3.6651365856514e-26	0.24912657910133634	0.0006627648261209687	-0.515984570640413	0.00017167882509117684	-0.563811215710731	1.0546705329929401e-05	-0.12590750113924606	0.33205183267900207	0.07258326639418702	0.7099291668429201	0.020288048790202066	0.4619588147185	tet(M)	TETRACYCLINE	Tetracyclines
ARO:3000194	552	True	-0.6446114816743683	4.237510085016672e-14	-1.0374222839287315	3.1290349078575045e-34	0.44022571832244306	4.795172787497895e-10	-0.31334477920709597	0.013456926692104495	-0.47857649745084135	5.4936474915613316e-05	0.2921139841725835	0.01458508013291832	0.14603288112472754	0.4155491664698211	-0.027861772007755106	0.2727445286709538	tet(W)	TETRACYCLINE	Tetracyclines
ARO:3000215	552	True	-0.15686069240737596	0.00023257138144702462	-0.13982145195606344	0.0010006300200666805	-0.1149970298968981	0.0011946008624456872	-0.07466779206176534	0.3140544497798703	-0.2987976714261455	1.3856087017521038e-05	0.04806545988214099	0.49487821889695127	0.1072657412206587	0.31352837672161415	-0.036432039190164314	0.014960787493960416	mecR1	METHICILLIN	betalactams
ARO:3000216	552	True	0.6081040442765078	3.4973499922092205e-13	1.174387980030347	4.3973833284317634e-45	0.6620451053854773	2.477894568586622e-21	-0.1955350145882987	0.2220463214404188	-0.3052898549647456	0.03844570035429552	0.19191952589369646	0.20917907319470352	-0.03514886716721644	0.8795319338846372	0.018233459965150477	0.5748279644338672	acrB	AZITHROMYCIN;AZITHROMYCIN/CLARITHROMYCIN/ERYTHROMYCIN;CEFTIBUTEN-AVIBACTAM;CEPHALOSPORIN	Drug and biocide resistance
ARO:3000217	552	True	-0.5627814088306204	2.2167047878901194e-12	-0.6469141629670183	5.597977044679771e-16	-0.10864057651965076	0.10203287851564084	-0.22472996091433547	0.0606846073746448	-0.47488017190871396	2.1735059036205128e-05	-0.016080408012482353	0.8869961298631428	0.16282147345393364	0.3374987986497501	-0.08569037108301027	0.00036335220409315313	blaR1;blaR1-2	BETA-LACTAM	betalactams
ARO:3000410	552	True	-0.014688003965232826	0.8339119835148463	-0.0828877282593625	0.23526611161475186	0.2870055248359339	8.903970162925974e-07	0.19317034169797162	0.12548906524545686	0.14076930809958393	0.22598659500267793	0.023105468001851988	0.8467887015690505	-0.29995402106996577	0.09742017563834163	0.004378785551331049	0.8632658718148936	sul1	SULFONAMIDE	Sulfonamides
ARO:3000412	552	True	0.14145183355023963	0.0018485352603984137	0.18032465330715314	6.905620579839498e-05	0.13492300304688695	0.00039346322133253583	0.2526265941824437	0.009283981052098668	0.10034827039676175	0.2593732158721662	0.013343943410549357	0.8865559097339232	-0.1715598937137426	0.22867380652056057	0.017891647512064117	0.3686202114398637	sul2	SULFONAMIDE	Sulfonamides
ARO:3000502	552	True	0.513113563451356	8.226426996219837e-15	0.9322141170122251	1.8564886000853245e-45	0.5350275426276865	2.2466895871261425e-22	-0.07353474735705284	0.510558940036066	-0.18620925825390724	0.07177258372904033	0.33108797474697554	0.0017236912237335513	-0.0875593969538266	0.5828369463817336	0.03525115410390265	0.11639575612321298	acrF	EFFLUX	Drug and biocide resistance
ARO:3000516	552	True	0.2809782399849944	2.4990777370502223e-14	0.5565319605393776	8.278321713034254e-52	0.3031383697630461	5.431520507106428e-23	0.011369804346375549	0.859651985690564	4.395035657071692e-05	0.9994108007176493	0.10847202321838911	0.07541709745827817	0.0008673739151606028	0.9924954873513013	0.026042173322039012	0.04467202918614309	emrR	NITROXOLINE	Drug and biocide resistance
ARO:3000521	552	True	-0.4713209523616799	1.6453141054884273e-11	-0.5100060825557202	2.6035294297479907e-13	-0.018893801641741672	0.7438184037521951	0.07685311306395004	0.4134431635193654	-0.14652162541018846	0.09675742246233111	-0.03754351593593643	0.6718048098068697	0.005019977883553201	0.9696994966304173	-0.05153425253795591	0.006154570842686147	mupA	MUPIROCIN	Mupirocin
ARO:3000565	552	True	-0.013380890060320836	0.7578680311183958	0.1068512494206421	0.013606020706569863	-0.0892476661341669	0.013575702498620905	-0.11914645361828868	0.11855664806767399	-0.2506584009471423	0.0003886707871983963	-0.010958299894386809	0.8798304123094733	-0.0777373382720784	0.47801314439032927	-0.022670405801976577	0.14116767485939258	tet(38)	TETRACYCLINE	Tetracyclines
