aro_id	effect	effect_label	coef	se	pvalue	fdr	gene_family	subclass	megares_class
ARO:3000215	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.1072657412206587	0.10643068121290916	0.31352837672161415	0.9686939300525664	mecR1	METHICILLIN	betalactams
ARO:3003291	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.15414693155429765	0.1535129254282168	0.3153159640194677	0.9686939300525664	rpoC	BETA-LACTAM;DAPTOMYCIN;FIDAXOMICIN	Lipopeptides
ARO:3003729	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.1198021001092744	0.12276480514031098	0.32913046603780804	0.9686939300525664	ileS	MUPIROCIN	Mupirocin
ARO:3003373	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.09772054884226548	0.10020746263199858	0.32946981584354573	0.9686939300525664	acrR	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE;TIGECYCLINE	Drug and biocide resistance
ARO:3000217	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.16282147345393364	0.1697614926605285	0.3374987986497501	0.9686939300525664	blaR1;blaR1-2	BETA-LACTAM	betalactams
ARO:3003315	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.14626783744226812	0.15654283969037353	0.35011667642601474	0.9686939300525664	parE	QUINOLONE	Fluoroquinolones
ARO:3001387	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.09110664865011751	0.09761225184302032	0.3506379473070037	0.9686939300525664	blaTEM	BETA-LACTAM	betalactams
ARO:3003794	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.10452670558864377	0.11307832241873328	0.35529142248006773	0.9686939300525664	walK	DAPTOMYCIN	Lipopeptides
ARO:3001044	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.09284522611017096	0.1004835459670494	0.3554944525918857	0.9686939300525664	blaTEM	BETA-LACTAM	betalactams
ARO:3000617	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.17751726250407623	0.19598835064618852	0.365065992609068	0.9686939300525664	mecA;mecA-ceftar	CEFTAROLINE/METHICILLIN;METHICILLIN	betalactams
ARO:3003079	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.06213645766771353	0.06993460761355864	0.37427524786413835	0.9686939300525664	liaS	DAPTOMYCIN	Lipopeptides
ARO:3003930	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.07220061987099004	0.08232461579888369	0.3804738925621929	0.9686939300525664	rpsJ	TETRACYCLINE;TIGECYCLINE	Tetracyclines
ARO:3003805	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.07339686735509482	0.08389736513558	0.3816603438576488	0.9686939300525664	gshF	DAPTOMYCIN	Lipopeptides
ARO:3003395	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0870653175059817	0.09986292699092265	0.38329117182236405	0.9686939300525664	rpsL	STREPTOMYCIN	Aminoglycosides
ARO:3003303	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.12000263499990435	0.14367724681900154	0.40359179423081315	0.9686939300525664	gyrB	NALIDIXIC ACID;QUINOLONE;ZOLIFLODACIN	Aminocoumarins
ARO:3003737	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.06546789261158867	0.0793094974400544	0.4091027916917972	0.9686939300525664	fusE	FUSIDIC ACID	Fusidic acid
ARO:3000194	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.14603288112472754	0.1793647288902054	0.4155491664698211	0.9686939300525664	tet(W)	TETRACYCLINE	Tetracyclines
ARO:3003197	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.04724675402710107	0.058131360160601143	0.41635656362628415	0.9686939300525664	aadA25	STREPTOMYCIN	Aminoglycosides
ARO:3003499	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.10459967489608668	0.12997582822548778	0.42095673454037885	0.9686939300525664	tet(O/M/O);tet(O/W);tet(O/W/32/O);tet(O/W/O);tet(W/32/O);tet(W/N/W)	TETRACYCLINE	Tetracyclines
ARO:3006266	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.05234266519327214	0.0651439532194616	0.42169024206289685	0.9686939300525664	blaACT	CEPHALOSPORIN	betalactams
ARO:3003797	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.063813510908099	0.08369327300501624	0.44578024705402397	0.9686939300525664	yybT	DAPTOMYCIN	Lipopeptides
ARO:3000179	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.054699382168778635	0.07541789539934221	0.46827790622980037	0.9686939300525664	tet(L)	TETRACYCLINE	Tetracyclines
ARO:3005320	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.034897726950351336	0.048547238354487945	0.4722391261972565	0.9686939300525664	blaOXA-2_fam	BETA-LACTAM	betalactams
ARO:3000565	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0777373382720784	0.1095660926463274	0.47801314439032927	0.9686939300525664	tet(38)	TETRACYCLINE	Tetracyclines
ARO:3002619	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.038973411157336484	0.05499929495828422	0.4785624574113868	0.9686939300525664	aadA22	STREPTOMYCIN	Aminoglycosides
ARO:3005319	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.03338373961311208	0.047692128328807294	0.48393712826922264	0.9686939300525664	blaOXA-2_fam	CEPHALOSPORIN	betalactams
ARO:3002591	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.10349712530611224	0.15335564808425312	0.49975007937775273	0.9686939300525664	aac(3)-IIa;aac(3)-IIc;aac(3)-IId;aac(3)-IIe;aac(3)-XI;aac(6')-IIa;aac(6')-Ib';aac(6')-Ib-AGKT;aac(6')-Ib-AKT;aac(6')-Ib-D181Y;aac(6')-Ib-G;aac(6')-Ib-K;aac(6')-Ib-W104R;aac(6')-Ib-cr;aac(6')-Ib11;aac(6')-Ie;aac(6')-Ie2;aac(6')-Im;aac(6')_Entco;aph(2'')-Ia;aph(2'')-If2	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN;AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN;AMIKACIN/KANAMYCIN/TOBRAMYCIN;AMINOGLYCOSIDE;GENTAMICIN;GENTAMICIN/KANAMYCIN/TOBRAMYCIN;KANAMYCIN	Aminoglycosides
ARO:3004045	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.06744531262598702	0.10203435740335944	0.508608527493802	0.9686939300525664	fabI	TRICLOSAN	Phenolic compound resistance
ARO:3005230	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.05331736626131134	0.08563635199554007	0.5335460794293618	0.9686939300525664	blaSHV	BETA-LACTAM	betalactams
ARO:3005227	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.05153154677472045	0.08660822657032005	0.5518461571226987	0.9686939300525664	blaSHV	BETA-LACTAM	betalactams
ARO:3006240	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.039084591163738205	0.06625776623785376	0.5552664485568077	0.9686939300525664	blaACT	CEPHALOSPORIN	betalactams
ARO:3000026	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.044337571527300286	0.07726892226650739	0.5660973335910222	0.9686939300525664	mepA	TIGECYCLINE	Drug and biocide resistance
ARO:3001998	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0461073878693575	0.0813564017424858	0.5708953442677176	0.9686939300525664	blaCTX-M	CEPHALOSPORIN	betalactams
ARO:3005664	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.04390601302956253	0.0783205133285694	0.5750743150131594	0.9686939300525664	blaCTX-M	CEPHALOSPORIN	betalactams
ARO:3006236	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.03979657442729069	0.07177920824457172	0.5792843326649916	0.9686939300525664	blaACT	CEPHALOSPORIN	betalactams
ARO:3000502	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0875593969538266	0.15941757993659397	0.5828369463817336	0.9686939300525664	acrF	EFFLUX	Drug and biocide resistance
ARO:3000172	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0399654483186932	0.07685509162127663	0.6030563139300905	0.9686939300525664	fosB-Saur;fosB-Sepi;fosB_gen;fosBx1-fam	FOSFOMYCIN	Fosfomycin
ARO:3002868	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.021428815124091203	0.04124245679203255	0.6033553362969365	0.9686939300525664	dfrG	TRIMETHOPRIM	Trimethoprim
ARO:3003378	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.03736031495277247	0.07235860990533709	0.605629796024881	0.9686939300525664	marR	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	Drug and biocide resistance
ARO:3004114	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0534131178368158	0.11019578341300526	0.6278813015911455	0.9686939300525664	ompC	CARBAPENEM	betalactams
ARO:3003386	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.06169109849467182	0.128308855544608	0.6306575381664145	0.9686939300525664	folP	SULFONAMIDE	Sulfonamides
ARO:3003775	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.05926466512177404	0.12571802828571854	0.6373483771094447	0.9686939300525664	murA	FOSFOMYCIN	Fosfomycin
ARO:3007751	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.06996391237020337	0.15223925861919324	0.6458281208944243	0.9686939300525664	gyrA	QUINOLONE	Fluoroquinolones
