Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(Delivery)[T.Vaginal],0.5879378735800493,0.11292501360995415,3.0385633068273476e-07,True,Interaction,MaternalAntibiotics,Delivery
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.PICC_LE],-0.5139712046822754,0.13707269502840622,0.00020230214346681627,True,Interaction,PostNatalAbxCohort,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_UE],0.6051158881192791,0.16901099197517713,0.00038386421355809534,True,Interaction,MaternalAntibiotics,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.peripheral_UE],0.9250748469493997,0.2598074980258703,0.00041294085508544715,True,Interaction,MaternalAntibiotics,PICC
C(SampleType)[T.Stool]:C(GestationCohort)[T.33-36 Weeks],0.34826679680403544,0.09785758317158887,0.00041554464501824433,True,Interaction,SampleType,GestationCohort
C(PICC)[T.PICC_UE]:C(UVC)[T.UVC],-0.3152689156043712,0.09245588506163203,0.0007135640796312406,True,Interaction,PICC,UVC
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(Delivery)[T.Vaginal],0.3437295671902513,0.10637548623416854,0.001330811740737198,True,Interaction,PostNatalAbxCohort,Delivery
C(SampleType)[T.Stool]:C(GestationCohort)[T.28-32 Weeks],0.2473143042522199,0.07655331745029241,0.001333858940724484,True,Interaction,SampleType,GestationCohort
C(SampleType)[T.Stool]:C(SampleCollectionWeek)[T.Week.3],0.11329838558121529,0.0370611511460222,0.002380042774687063,True,Interaction,SampleType,SampleCollectionWeek
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(AnyMilk)[T.Mother],-0.3267714396164294,0.11171988100472427,0.0036349240586911126,True,Interaction,MaternalAntibiotics,AnyMilk
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_LE],0.5071443269924288,0.19211949955255755,0.008610549846675315,True,Interaction,MaternalAntibiotics,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(UVC)[T.UVC],0.3840032000663398,0.1472988133269688,0.009464676279201693,True,Interaction,MaternalAntibiotics,UVC
C(PICC)[T.PICC_LE]:C(UVC)[T.UVC],-0.6009863247181644,0.2323497198215673,0.010034247508796256,True,Interaction,PICC,UVC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.23738300997591955,0.09561781826151901,0.01343724497918014,True,Interaction,PostNatalAbxCohort,MaternalAntibiotics
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.axillary],-3.459589681721389e-16,1.4190978872742486e-16,0.015193531209679654,True,Interaction,GestationCohort,PICC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(UVC)[T.UVC],-0.2894367595107567,0.12569278271323528,0.021789074602083826,True,Interaction,PostNatalAbxCohort,UVC
C(Location)[T.Hangzhou]:C(GestationCohort)[T.28-32 Weeks],-0.48857900400459064,0.2138940208777501,0.022864614933174095,True,Interaction,Location,GestationCohort
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(AnyMilk)[T.Mother],0.2788540667515226,0.12218318789929149,0.02298041393497656,True,Interaction,PostNatalAbxCohort,AnyMilk
