Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(Location)[T.Hangzhou]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.4620936160493816,0.13002292002024957,0.00042324569426822634,True,Interaction,Location,MaternalAntibiotics
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.peripheral_UE],-1.0062318418101583,0.31165719674439357,0.0013428308101619505,True,Interaction,MaternalAntibiotics,PICC
C(Location)[T.Hangzhou]:C(GestationCohort)[T.28-32 Weeks],-0.7480480334618256,0.25658078174675536,0.003744740819189677,True,Interaction,Location,GestationCohort
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(Delivery)[T.Vaginal],-0.39314005931137685,0.1354614222122888,0.003903116499302745,True,Interaction,MaternalAntibiotics,Delivery
C(GestationCohort)[T.28-32 Weeks]:C(AnyMilk)[T.No.Milk],0.8101924013776183,0.28258750850691955,0.00435477364753053,True,Interaction,GestationCohort,AnyMilk
C(GestationCohort)[T.33-36 Weeks]:C(AnyMilk)[T.No.Milk],0.242001184523823,0.08899958492489395,0.006820758705106391,True,Interaction,GestationCohort,AnyMilk
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_LE],-0.6180638909143775,0.23046072621246588,0.007614252398048035,True,Interaction,MaternalAntibiotics,PICC
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.axillary],-0.3340268792505043,0.13206927531403378,0.011803284634399494,True,Interaction,SampleCollectionWeek,PICC
C(GestationCohort)[T.28-32 Weeks],0.4827214217931641,0.2073870320595498,0.020412681140364344,True,Main,,
C(AnyMilk)[T.Mother]:C(PICC)[T.PICC_Neck],-0.333552272007554,0.14432984665729004,0.021321051894032987,True,Interaction,AnyMilk,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_Neck],-0.333552272007554,0.14432984665729004,0.021321051894032987,True,Interaction,MaternalAntibiotics,PICC
C(Location)[T.Hangzhou]:C(PICC)[T.PICC_Neck],-0.3335522720075584,0.14432984665729262,0.0213210518940336,True,Interaction,Location,PICC
C(PICC)[T.PICC_Neck],-0.33355227200755666,0.14432984665729218,0.021321051894033886,True,Main,,
C(Location)[T.Hangzhou]:C(PICC)[T.peripheral_UE],-0.263468632323273,0.11439994200570097,0.02177106195430605,True,Interaction,Location,PICC
C(PICC)[T.peripheral_UE],-0.2634686323232685,0.11439994200570096,0.021771061954308286,True,Main,,
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_UE],-0.45875727341611183,0.20274046121920603,0.024166563045793045,True,Interaction,MaternalAntibiotics,PICC
C(PICC)[T.PICC_UE]:C(Delivery)[T.Vaginal],1.0257525426529064,0.4715582342639976,0.030177320644006383,True,Interaction,PICC,Delivery
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(PICC)[T.PICC_Neck],-0.5059193954366331,0.2430815357953016,0.03802279472016196,True,Interaction,PostNatalAbxCohort,PICC
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.PICC_Neck],-0.5059193954366332,0.24308153579530165,0.03802279472016196,True,Interaction,GestationCohort,PICC
C(GestationCohort)[T.33-36 Weeks]:C(UVC)[T.UVC],-0.5284360588201445,0.26643900241838875,0.04799102189080116,True,Interaction,GestationCohort,UVC
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(UVC)[T.UVC],0.37373712157739963,0.19124639059996312,0.05134829515618688,False,Interaction,PostNatalAbxCohort,UVC
C(SampleType)[T.Groin]:C(Delivery)[T.Vaginal],0.1569219269547204,0.08049121638316202,0.05190416906325884,False,Interaction,SampleType,Delivery
C(Location)[T.Hangzhou],0.6414803636709072,0.3301740090205113,0.052711211921220844,False,Main,,
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(Delivery)[T.Vaginal],-0.24727250191999278,0.12760480776717853,0.05332737842483876,False,Interaction,PostNatalAbxCohort,Delivery
C(PICC)[T.PICC_LE]:C(UVC)[T.UVC],0.5311183745699478,0.27871967858573643,0.05739913932188025,False,Interaction,PICC,UVC
C(Location)[T.Hangzhou]:C(PICC)[T.PICC_UE],-1.4340493170689115,0.7534295674060402,0.057686579533225285,False,Interaction,Location,PICC
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(PICC)[T.axillary],0.41231379026895054,0.21946395665205637,0.06098360442326319,False,Interaction,PostNatalAbxCohort,PICC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.peripheral_UE],-5.85813182092886e-17,3.202625775909737e-17,0.06809398382082044,False,Interaction,PostNatalAbxCohort,PICC
C(SampleType)[T.Stool],-0.24841446676675388,0.1374643623050897,0.07146953672813758,False,Main,,
C(UVC)[T.UVC]:C(Delivery)[T.Vaginal],-0.44308869776890586,0.2471857756245808,0.07377757713069598,False,Interaction,UVC,Delivery
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.PICC_UE],-0.10224401136880168,0.05844610087242681,0.08096760002913149,False,Interaction,SampleCollectionWeek,PICC
C(AnyMilk)[T.No.Milk]:C(Delivery)[T.Vaginal],-0.4998304282491795,0.2860279181030169,0.08129409271028956,False,Interaction,AnyMilk,Delivery
C(SampleCollectionWeek)[T.Week.3]:C(GestationCohort)[T.28-32 Weeks],-0.1482334363514794,0.08561566956756207,0.08412861187112843,False,Interaction,SampleCollectionWeek,GestationCohort
