Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.PICC_UE],0.4237741651273249,0.08014052333276944,2.0079071729327202e-07,True,Interaction,PostNatalAbxCohort,PICC
C(SampleType)[T.Stool]:C(SampleCollectionWeek)[T.Week.3],0.14944465401176893,0.0294558604198968,5.908067512185281e-07,True,Interaction,SampleType,SampleCollectionWeek
C(SampleType)[T.Groin]:C(SampleCollectionWeek)[T.Week.3],0.11025798192869463,0.031944930087806654,0.0006148261617172669,True,Interaction,SampleType,SampleCollectionWeek
C(SampleCollectionWeek)[T.Week.3]:C(GestationCohort)[T.33-36 Weeks],-0.24219116097537235,0.07109062583410265,0.0007216056332416898,True,Interaction,SampleCollectionWeek,GestationCohort
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.24813532297207702,0.07599615827552784,0.001185202958103552,True,Interaction,PostNatalAbxCohort,MaternalAntibiotics
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(AnyMilk)[T.No.Milk],-0.44127564984691997,0.14273759905383504,0.002126000300496444,True,Interaction,PostNatalAbxCohort,AnyMilk
C(Location)[T.Hangzhou]:C(SampleCollectionWeek)[T.Week.3],0.13047162800204992,0.043070332795968155,0.002605037285300928,True,Interaction,Location,SampleCollectionWeek
C(SampleType)[T.Stool],0.27519812218765527,0.0910788316428467,0.002670998126322369,True,Main,,
C(SampleType)[T.Stool]:C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.151332499871891,0.050086468255115646,0.0026719720256329744,True,Interaction,SampleType,PostNatalAbxCohort
C(SampleType)[T.Groin],0.3101162895200384,0.1027496950607244,0.0027001852497343768,True,Main,,
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.PICC_LE],0.32754449276603803,0.10894411121304777,0.002803366503051686,True,Interaction,PostNatalAbxCohort,PICC
C(SampleCollectionWeek)[T.Week.3]:C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.1529280232646435,0.052247713474145197,0.00361139591164604,True,Interaction,SampleCollectionWeek,PostNatalAbxCohort
C(SampleCollectionWeek)[T.Week.3]:C(PostNatalAbxCohort)[T.No.Infant.Abx],0.14348908142700317,0.04954670386992339,0.003979380039537675,True,Interaction,SampleCollectionWeek,PostNatalAbxCohort
C(GestationCohort)[T.33-36 Weeks]:C(AnyMilk)[T.No.Milk],0.170352315150746,0.05896785229081534,0.0040689445351345,True,Interaction,GestationCohort,AnyMilk
C(SampleType)[T.Stool]:C(UVC)[T.UVC],-0.14066485441518156,0.05024326079743169,0.0053547660365407075,True,Interaction,SampleType,UVC
C(SampleType)[T.Groin]:C(UVC)[T.UVC],-0.14777468179749736,0.05579222273821132,0.008390157198268687,True,Interaction,SampleType,UVC
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.PICC_LE],-0.11491286029486061,0.044537665815557424,0.010219995249475911,True,Interaction,SampleCollectionWeek,PICC
C(Location)[T.Hangzhou]:C(SampleType)[T.Stool],-0.12185728835046217,0.04787588579884303,0.011280979019959813,True,Interaction,Location,SampleType
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.axillary],2.7804426710047e-16,1.127885885816777e-16,0.014099260187526576,True,Interaction,GestationCohort,PICC
C(SampleType)[T.Stool]:C(PICC)[T.PICC_UE],-0.1036526293331889,0.04375202052033955,0.018289780714667168,True,Interaction,SampleType,PICC
C(SampleType)[T.Groin]:C(PICC)[T.PICC_UE],-0.1133992047971488,0.04893696487894974,0.020977113542660977,True,Interaction,SampleType,PICC
C(SampleType)[T.Groin]:C(GestationCohort)[T.28-32 Weeks],-0.1622823962928316,0.07034300477332354,0.02154670171857997,True,Interaction,SampleType,GestationCohort
C(SampleCollectionWeek)[T.Week.3]:C(UVC)[T.UVC],-0.113396648084103,0.05019628953307471,0.02439881611170286,True,Interaction,SampleCollectionWeek,UVC
C(SampleType)[T.Stool]:C(PICC)[T.PICC_LE],-0.11659494658209793,0.05174078614608946,0.02475373507478384,True,Interaction,SampleType,PICC
C(SampleCollectionWeek)[T.Week.3]:C(GestationCohort)[T.28-32 Weeks],-0.12447564938305777,0.05672579440791443,0.02876594217260748,True,Interaction,SampleCollectionWeek,GestationCohort
C(Location)[T.Hangzhou]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.18548440619733358,0.08614840562059745,0.031889415041579265,True,Interaction,Location,MaternalAntibiotics
C(SampleCollectionWeek)[T.Week.3]:C(AnyMilk)[T.Mother],0.0928892863937728,0.048755672677991156,0.057446705293082385,False,Interaction,SampleCollectionWeek,AnyMilk
C(SampleType)[T.Stool]:C(GestationCohort)[T.28-32 Weeks],-0.11506325353368826,0.060843869220664724,0.059305773312998515,False,Interaction,SampleType,GestationCohort
C(GestationCohort)[T.28-32 Weeks]:C(MaternalAntibiotics)[T.None.Mat.Abx],-0.148699846361036,0.08066964249119024,0.0659971051560829,False,Interaction,GestationCohort,MaternalAntibiotics
C(SampleCollectionWeek)[T.Week.3],-0.1434532524204004,0.08077461638652812,0.076472379176373,False,Main,,
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(Delivery)[T.Vaginal],0.15809296064878994,0.08975175718919272,0.07890088010721917,False,Interaction,MaternalAntibiotics,Delivery
