Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(SampleType)[T.Stool],0.26810025880461363,0.07166447357808332,0.00020909734339305387,True,Main,,
C(Location)[T.Hangzhou]:C(SampleType)[T.Groin],-0.12640387177692614,0.04282409138630244,0.0033400419236863724,True,Interaction,Location,SampleType
C(Location)[T.Hangzhou]:C(SampleType)[T.Stool],-0.1092708467199626,0.037670664971996164,0.00392196936048529,True,Interaction,Location,SampleType
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.PICC_Neck],-0.20306623300615126,0.07531366135005879,0.007298029910619678,True,Interaction,SampleCollectionWeek,PICC
C(SampleType)[T.Groin]:C(SampleCollectionWeek)[T.Week.3],0.06516016760368432,0.025135550785374407,0.00986957360802509,True,Interaction,SampleType,SampleCollectionWeek
C(SampleType)[T.Groin]:C(PICC)[T.PICC_UE],-0.08772292397597341,0.03850556450165582,0.023224179419947626,True,Interaction,SampleType,PICC
C(SampleType)[T.Stool]:C(PICC)[T.PICC_UE],-0.07512994577696777,0.03442584255870712,0.029643582464214436,True,Interaction,SampleType,PICC
C(SampleType)[T.Stool]:C(SampleCollectionWeek)[T.Week.3],0.050132184128836146,0.023177051052424177,0.03111219190296633,True,Interaction,SampleType,SampleCollectionWeek
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(Delivery)[T.Vaginal],-0.14185923462588512,0.0665243792741821,0.03355857148651744,True,Interaction,PostNatalAbxCohort,Delivery
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(UVC)[T.UVC],0.17522647090234336,0.09970272786510721,0.07957351498196175,False,Interaction,PostNatalAbxCohort,UVC
C(SampleType)[T.Groin],0.1398270598282025,0.08084757647869684,0.08446241074115471,False,Main,,
C(SampleCollectionWeek)[T.Week.3]:C(MaternalAntibiotics)[T.None.Mat.Abx],-0.04539408519715017,0.027943647159281933,0.10503300864609648,False,Interaction,SampleCollectionWeek,MaternalAntibiotics
C(SampleType)[T.Stool]:C(UVC)[T.UVC],0.05930327871076212,0.0395334104637374,0.1343558753864492,False,Interaction,SampleType,UVC
C(SampleType)[T.Stool]:C(PICC)[T.PICC_Neck],0.14104930003440133,0.09720442064915036,0.1475208486880762,False,Interaction,SampleType,PICC
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.PICC_UE],0.0421504009934913,0.030469781268966337,0.1673027802178725,False,Interaction,SampleCollectionWeek,PICC
C(SampleCollectionWeek)[T.Week.3]:C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.05328587256978876,0.03898533156739409,0.17242396142243982,False,Interaction,SampleCollectionWeek,PostNatalAbxCohort
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(UVC)[T.UVC],0.10490596302139615,0.07860489897865969,0.18274138251782074,False,Interaction,PostNatalAbxCohort,UVC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(AnyMilk)[T.Mother],0.08660749982098492,0.06986662058647802,0.21582115575844207,False,Interaction,MaternalAntibiotics,AnyMilk
C(SampleType)[T.Stool]:C(Delivery)[T.Vaginal],0.045332182719259886,0.03680536570616334,0.2187703219530203,False,Interaction,SampleType,Delivery
C(SampleType)[T.Stool]:C(AnyMilk)[T.Mother],-0.05239673635399902,0.04488801790057921,0.24377051529543453,False,Interaction,SampleType,AnyMilk
C(SampleType)[T.Groin]:C(PICC)[T.PICC_LE],-0.052434675221057915,0.044947525793891704,0.24405344793006026,False,Interaction,SampleType,PICC
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(PICC)[T.axillary],0.13131771530345362,0.11441342802672419,0.251735648901915,False,Interaction,PostNatalAbxCohort,PICC
C(SampleType)[T.Groin]:C(GestationCohort)[T.28-32 Weeks],0.060057897470925756,0.05534869426903501,0.2785165802744638,False,Interaction,SampleType,GestationCohort
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(AnyMilk)[T.Mother],0.07120681083573922,0.0662411307075887,0.28301706651919833,False,Interaction,PostNatalAbxCohort,AnyMilk
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.axillary],-0.07065988176456253,0.0688518459076193,0.3053683811270396,False,Interaction,SampleCollectionWeek,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(Delivery)[T.Vaginal],-0.07182266133581491,0.07062027823208927,0.3097350177738309,False,Interaction,MaternalAntibiotics,Delivery
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.PICC_UE],-0.06388574979110054,0.0630577743842424,0.3115895999270525,False,Interaction,PostNatalAbxCohort,PICC
C(SampleType)[T.Stool]:C(AnyMilk)[T.No.Milk],-0.06162494877662096,0.0608840869365283,0.3120487213577254,False,Interaction,SampleType,AnyMilk
C(PICC)[T.PICC_UE]:C(UVC)[T.UVC],-0.0564449000517149,0.05781943360926882,0.3295219958688884,False,Interaction,PICC,UVC
C(GestationCohort)[T.28-32 Weeks]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.05918772918650969,0.06347410653589977,0.35163692404996727,False,Interaction,GestationCohort,MaternalAntibiotics
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(AnyMilk)[T.No.Milk],0.10446959148020565,0.1123116613540355,0.3528221180480767,False,Interaction,PostNatalAbxCohort,AnyMilk
Intercept,-0.11720201160582208,0.12965354367399418,0.3665406965132977,False,Other,,
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.peripheral_UE],-1.5070247055951142e-17,1.6696290329328075e-17,0.3672574947702443,False,Interaction,PostNatalAbxCohort,PICC
C(Location)[T.Hangzhou]:C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.07774870338879225,0.08649452368548767,0.3692359644701775,False,Interaction,Location,PostNatalAbxCohort
C(GestationCohort)[T.28-32 Weeks]:C(PICC)[T.PICC_UE],0.14114689355303767,0.1619066987940541,0.383834117545523,False,Interaction,GestationCohort,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(UVC)[T.UVC],-0.07991724151342221,0.09211673169539626,0.3861351586783949,False,Interaction,MaternalAntibiotics,UVC
C(SampleCollectionWeek)[T.Week.3]:C(Delivery)[T.Vaginal],0.028326711821069633,0.03298530585733127,0.39096568335356674,False,Interaction,SampleCollectionWeek,Delivery
C(UVC)[T.UVC],-0.10622621499903889,0.12742800403578183,0.4049772496954378,False,Main,,
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.PICC_UE],0.14293463597515652,0.17228060698235548,0.4072081589024683,False,Interaction,GestationCohort,PICC
C(AnyMilk)[T.Mother]:C(PICC)[T.PICC_UE],0.0495508590967359,0.06111350983216955,0.4179461452524662,False,Interaction,AnyMilk,PICC
C(SampleCollectionWeek)[T.Week.3]:C(UVC)[T.UVC],-0.03151416445985086,0.039496451591157215,0.4253867412379462,False,Interaction,SampleCollectionWeek,UVC
C(SampleCollectionWeek)[T.Week.3]:C(GestationCohort)[T.28-32 Weeks],-0.0353658813999798,0.044634127614668964,0.428610018127244,False,Interaction,SampleCollectionWeek,GestationCohort
C(GestationCohort)[T.28-32 Weeks]:C(UVC)[T.UVC],0.07657594458788217,0.09873029820540481,0.43842367675189864,False,Interaction,GestationCohort,UVC
C(PICC)[T.peripheral_UE],-0.04618434240281695,0.059640269548598995,0.4391470233719673,False,Main,,
C(Location)[T.Hangzhou]:C(PICC)[T.peripheral_UE],-0.046184342402816624,0.059640269548599,0.43914702337197054,False,Interaction,Location,PICC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.PICC_LE],-0.0659870227601104,0.08572159127085624,0.4418676245677512,False,Interaction,PostNatalAbxCohort,PICC
C(Location)[T.Hangzhou],0.12937511320063583,0.17213004264410853,0.4527111048831475,False,Main,,
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.06348823067456319,0.08639004026963373,0.46281513091685444,False,Main,,
