sample_name	species	Location	BodySite	genes_with_resistance	total_resistance_score	total_mutations	n_genes_with_resistance
N03_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	1.0	1	1
N04_1_2	Staphylococcus_aureus	UCMC	Axilla	parC,parE	1.915	3	2
N04_1_2	Staphylococcus_aureus	ZCH	Axilla	parC,parE	1.915	3	2
N04_1_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N04_1_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N04_1_3	Staphylococcus_aureus	UCMC	Groin	parC,parE	1.641	3	2
N04_1_3	Staphylococcus_aureus	ZCH	Groin	parC,parE	1.641	3	2
N04_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N04_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	1.0	1	1
N04_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N04_1_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N04_1_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.3784	2	1
N04_1_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.3784	2	1
N04_1_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.625	1	1
N04_1_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.625	1	1
N04_1_4	Staphylococcus_aureus	UCMC	Stool	parC	1.0	1	1
N04_1_4	Staphylococcus_aureus	ZCH	Stool	parC	1.0	1	1
N04_2_2	Staphylococcus_aureus	UCMC	Axilla	parE	1.0	1	1
N04_2_2	Staphylococcus_aureus	ZCH	Axilla	parE	1.0	1	1
N04_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N04_2_3	Enterococcus_faecalis	ZCH	Groin	gyrA	1.0	1	1
N04_2_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N04_2_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N04_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.9974	1	1
N04_2_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.9974	1	1
N04_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	0.9968	1	1
N04_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	0.9968	1	1
N04_2_4	Staphylococcus_aureus	UCMC	Stool	parC	1.0	1	1
N04_2_4	Staphylococcus_aureus	ZCH	Stool	parC	1.0	1	1
N05_1_2	Streptococcus_mitis	UCMC	Axilla	parC	0.0476	1	1
N05_1_2	Streptococcus_mitis	ZCH	Axilla	parC	0.0476	1	1
N05_1_3	Staphylococcus_aureus	UCMC	Groin	parC	1.0	1	1
N05_1_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.7027	1	1
N05_1_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.7027	1	1
N05_1_4	Staphylococcus_aureus	UCMC	Stool	parC	1.0	1	1
N05_1_4	Staphylococcus_aureus	ZCH	Stool	parC	1.0	1	1
N05_2_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N05_2_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N05_2_3	Escherichia_coli	UCMC	Groin	parC	0.0138	1	1
N05_2_3	Escherichia_coli	ZCH	Groin	parC	0.0138	1	1
N05_2_3	Staphylococcus_aureus	UCMC	Groin	parE	1.0	1	1
N05_2_3	Staphylococcus_aureus	ZCH	Groin	parE	1.0	1	1
N05_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N05_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N05_2_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.2759	1	1
N05_2_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.2759	1	1
N05_2_4	Staphylococcus_aureus	UCMC	Stool	parC	1.0	1	1
N05_2_4	Staphylococcus_aureus	ZCH	Stool	parC	1.0	1	1
N06_1_2	Staphylococcus_aureus	UCMC	Axilla	parE	0.9419	1	1
N06_1_2	Staphylococcus_aureus	ZCH	Axilla	parE	0.9419	1	1
N06_1_2	Streptococcus_mitis	UCMC	Axilla	gyrA	0.6667	1	1
N06_1_2	Streptococcus_mitis	ZCH	Axilla	gyrA	0.6667	1	1
N06_1_2	Streptococcus_oralis	UCMC	Axilla	gyrA	0.6667	1	1
N06_1_2	Streptococcus_oralis	ZCH	Axilla	gyrA	0.6667	1	1
N06_1_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	1.0364	2	1
N06_1_3	Klebsiella_pneumoniae	ZCH	Groin	gyrA	1.0364	2	1
N06_1_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	1.0	1	1
N06_1_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	1.0	1	1
N06_1_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.1818	1	1
N06_1_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.1818	1	1
N06_1_4	Staphylococcus_aureus	UCMC	Stool	gyrA,parC,parE	2.0568	4	3
N06_1_4	Staphylococcus_aureus	ZCH	Stool	gyrA,parC,parE	2.0568	4	3
N07_1_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N07_1_3	Enterococcus_faecalis	ZCH	Groin	gyrA	1.0	1	1
N07_1_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N07_1_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N07_1_3	Staphylococcus_aureus	UCMC	Groin	parE	1.0	1	1
N07_1_3	Staphylococcus_aureus	ZCH	Groin	parE	1.0	1	1
N07_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.9912	1	1
N07_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.9912	1	1
N07_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N07_1_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N07_1_4	Staphylococcus_aureus	UCMC	Stool	parC,parE	2.0	2	2
N07_1_4	Staphylococcus_aureus	ZCH	Stool	parC,parE	2.0	2	2
N07_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	0.9706	1	1
N07_2_3	Enterococcus_faecalis	ZCH	Groin	gyrA	0.9706	1	1
N07_2_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N07_2_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N07_2_3	Escherichia_coli	UCMC	Groin	parC,parE	0.0351	2	2
N07_2_3	Escherichia_coli	ZCH	Groin	parC,parE	0.0351	2	2
N07_2_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	0.0625	1	1
N07_2_3	Klebsiella_pneumoniae	ZCH	Groin	gyrA	0.0625	1	1
N07_2_3	Staphylococcus_aureus	UCMC	Groin	parE	1.0	1	1
N07_2_3	Staphylococcus_aureus	ZCH	Groin	parE	1.0	1	1
N07_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N07_2_4	Enterococcus_faecalis	ZCH	Stool	gyrA	1.0	1	1
N07_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N07_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N07_2_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.0741	1	1
N07_2_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.0741	1	1
N08_1_2	Staphylococcus_aureus	UCMC	Axilla	parE	1.0712	2	1
N08_1_2	Staphylococcus_aureus	ZCH	Axilla	parE	1.0712	2	1
N08_1_3	Enterococcus_faecalis	UCMC	Groin	gyrA	0.9921	1	1
N08_1_3	Enterococcus_faecalis	ZCH	Groin	gyrA	0.9921	1	1
N08_1_3	Enterococcus_faecium	UCMC	Groin	gyrA	0.9895	1	1
N08_1_3	Enterococcus_faecium	ZCH	Groin	gyrA	0.9895	1	1
N08_1_3	Pseudomonas_aeruginosa	UCMC	Groin	gyrA	0.6364	1	1
N08_1_3	Pseudomonas_aeruginosa	ZCH	Groin	gyrA	0.6364	1	1
N08_1_3	Staphylococcus_aureus	UCMC	Groin	parC,parE	2.0	2	2
N08_1_3	Staphylococcus_aureus	ZCH	Groin	parC,parE	2.0	2	2
N08_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.9981	1	1
N08_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.9981	1	1
N08_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	0.9972	1	1
N08_1_4	Enterococcus_faecium	ZCH	Stool	gyrA	0.9972	1	1
N08_1_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	1.0	1	1
N08_1_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	1.0	1	1
N08_1_4	Staphylococcus_aureus	UCMC	Stool	parC,parE	2.0385	3	2
N08_1_4	Staphylococcus_aureus	ZCH	Stool	parC,parE	2.0385	3	2
N08_2_2	Klebsiella_pneumoniae	UCMC	Axilla	gyrA	1.0	1	1
N08_2_2	Klebsiella_pneumoniae	ZCH	Axilla	gyrA	1.0	1	1
N08_2_2	Staphylococcus_aureus	UCMC	Axilla	parE	1.2	2	1
N08_2_2	Staphylococcus_aureus	ZCH	Axilla	parE	1.2	2	1
N08_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N08_2_3	Enterococcus_faecalis	ZCH	Groin	gyrA	1.0	1	1
N08_2_3	Escherichia_coli	UCMC	Groin	parE	0.0222	1	1
N08_2_3	Escherichia_coli	ZCH	Groin	parE	0.0222	1	1
N08_2_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	0.9773	1	1
N08_2_3	Klebsiella_pneumoniae	ZCH	Groin	gyrA	0.9773	1	1
N08_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N08_2_4	Enterococcus_faecalis	ZCH	Stool	gyrA	1.0	1	1
N08_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N08_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N08_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.9925	1	1
