gene	UCMC_n	UCMC_mean	UCMC_median	ZCH_n	ZCH_mean	ZCH_median	statistic	p_value	fdr
gyrA	426	0.8374495305164319	1.0	285	0.8310385964912281	1.0	63050.5	0.33278610327206315	0.6297817051169488
parE	253	0.9858063241106719	1.0	168	0.9363309523809524	1.0	22217.5	0.41985447007796584	0.6297817051169488
parC	164	0.6064365853658537	0.9655	122	0.6076352459016392	0.9614	10007.0	0.9970486849800687	0.9970486849800687
