antibiotic_group	n_exposed	mean_mutations_exposed	n_unexposed	mean_mutations_unexposed	statistic	p_value	fdr
Beta-lactams	362	3.31767955801105	556	3.2949640287769784	101762.0	0.7694254249299068	0.8934508631921535
Aminoglycosides	70	3.157142857142857	848	3.3160377358490565	28679.0	0.6313607828818737	0.8934508631921535
Glycopeptides	11	3.1818181818181817	907	3.3054024255788312	4873.5	0.8934508631921535	0.8934508631921535
Antifungals	92	3.717391304347826	826	3.2578692493946733	43980.0	0.01120829065846891	0.04483316263387564
