metric	no_abx_mean	any_abx_mean	statistic	p_value
N mutations	3.3765822784810124	3.1979166666666665	31776.0	0.35862256792166536
Mean frequency	0.7442587289029535	0.730473179770172	30770.5	0.785994955251949
