metric	value
Total samples in FQ data	470.0
Samples with metadata	4565.0
Unique resistance mutations	925.0
Total resistance observations	5910.0
Mean mutations per sample	12.574468085106384
Samples from UCMC	2662.0
Samples from ZCH	1903.0
Axilla samples	674.0
Groin samples	1338.0
Stool samples	2553.0
Week 1 samples	1810.0
Week 3 samples	2755.0
Complete subjects	198.0
